baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Knightdale	[u'Baths: 2 full, 1 half', u'Lot: 4,356 sqft', u'Single Family', u'Built in 2016', u'All time views: 2,302', u'HOA Fee: $13/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $105,000', u'Last sale price/sqft: $88', u'Attic', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: None', u'Patio', u'Porch', u'Storage', u'Living room', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,200 sqft', u'Heating: Electric', u'Zillow Home ID: 2133940872']	http://photos2.zillowstatic.com/p_e/IShvf0lesb6oyd0000000000.jpg	105000.0	[]	1200.0	NC	139766.0	27545	2133940872
3.0	4	Knightdale	[u'Baths: 2 full, 1 half', u'Single Family', u'Built in 2016', u'All time views: 1,181', u'HOA Fee: $13/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $121,000', u'Last sale price/sqft: $76', u'Attic', u'Cable Ready', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 1 space, 240 sqft garage', u'Patio', u'Porch', u'Storage', u'Vaulted Ceiling', u'Living room', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Stories: 2', u'Floor size: 1,601 sqft', u'Heating: Electric', u'Zillow Home ID: 2100159417']	http://photos3.zillowstatic.com/p_e/IS91nrkzx9alud0000000000.jpg	121000.0	[]	1601.0	NC	151287.0	27545	2100159417
3.0	4	Knightdale	[u'Baths: 2 full, 1 half', u'Single Family', u'Built in 2016', u'All time views: 1,342', u'HOA Fee: $13/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $119,990', u'Last sale price/sqft: $75', u'Attic', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 1 space, 240 sqft garage', u'Patio', u'Porch', u'Storage', u'Vaulted Ceiling', u'Living room', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Stories: 2', u'Floor size: 1,601 sqft', u'Heating: Electric', u'Zillow Home ID: 2100159418']	http://photos1.zillowstatic.com/p_e/ISpt7f0q4po4vd0000000000.jpg	119990.0	[]	1601.0	NC	151356.0	27545	2100159418
3.0	5	Knightdale	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 2006', u'All time views: 3,457', u'HOA Fee: $41/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $345,000', u'Last sale price/sqft: $114', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 340 sqft garage', u'Patio', u'Vaulted Ceiling', u'Age: 6-10 Years Old', u'Lot Size: 2 Acre', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,016 sqft', u'Heating: Gas', u'Last remodel year: 2006', u'Parcel #: 173302971959000', u'Zillow Home ID: 89497867']	http://photos2.zillowstatic.com/p_e/ISph2npm4oq8if1000000000.jpg	345000.0	[]	3016.0	NC	349276.0	27545	89497867
3.0	3	Knightdale	[u'Baths: 2 full, 1 half', u'Lot: 8,276 sqft', u'Parking: Garage - Attached, 240 sqft garage', u'Single Family', u'Cooling: Central', u'Heating: Forced air', u'Posted: 2 days ago', u'Views since listing: 272', u'All time views: 2,532', u'9 shoppers saved this home', u'Rent/sqft: $0.58', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Modern', u'Built in 2007', u'Floor size: 2,392 sqft', u'HOA Fee: $145/mo', u'Last remodel year: 2007', u'Last sold: Aug 2016 for $194,000', u'Parcel #: 176301465372000', u'Zillow Home ID: 71207857']	http://photos2.zillowstatic.com/p_e/ISalmw7v4rmsdo1000000000.jpg	194000.0	[]	2392.0	NC	1450.0	27545	71207857
2.0	3	Knightdale	[u'Lot: 9,147 sqft', u'Single Family', u'Built in 2009', u'All time views: 1,904', u'Heating: Forced air', u'Last sold: Aug 2016 for $202,000', u'Last sale price/sqft: $112', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 484 sqft garage', u'Patio', u'Porch', u'Security System', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Gutters', u'HO Fees Include: HO Association', u'Washer Dryer Location: 1st Floor', u'HO Fees Include: Maint Com. Area', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Water: City Sewer', u'Master Bedroom Floor: Main', u'Water: City Water', u'Bedroom 2 Floor: Main', u'Inside City: Yes', u'Bedroom 3 Floor: Main', u'Design: 1.5 Story', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Corner Lot', u'Breakfast Room Floor: Main', u'Bonus Room Floor: Second', u'Fenced Yard', u'Garage Floor: Main', u'Equipment: Cooktop ? Electric', u'Other Rooms: Walk In Pantry', u'Other Rooms: Finish', u'Style: Transitional', u'Foundation: Slab', u'Attic Description: Walk In', u'Subdivision: Mingo Creek', u'Parking: Garage', u'9 Ft Ceiling', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Monthly', u'10Ft+ Ceiling', u'Pantry', u'Tray Ceiling', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,801 sqft', u'Heating: Electric', u'Last remodel year: 2009', u'Parcel #: 174301484560000', u'Zillow Home ID: 88954482']	http://photos2.zillowstatic.com/p_e/ISppss9totdtl01000000000.jpg	202000.0	[]	1801.0	NC	204288.0	27545	88954482
3.0	4	Knightdale	[u'Lot: 8,276 sqft', u'Parking: 320 sqft garage', u'Single Family', u'Heating: Forced air', u'Posted: 3 days ago', u'Views since listing: 367', u'All time views: 564', u'15 shoppers saved this home', u'Rent/sqft: $0.67', u'Fireplace', u'Stories: 2', u'Structure type: Other', u'Built in 2006', u'Floor size: 2,088 sqft', u'Last remodel year: 2006', u'Last sold: Aug 2016 for $179,900', u'Parcel #: 176301468235000', u'Zillow Home ID: 70487344']	http://photos1.zillowstatic.com/p_e/ISa9x4ssrt98ds0000000000.jpg	179900.0	[]	2088.0	NC	1399.0	27545	70487344
2.0	2	Knightdale	[u'Lot: 1.75 acres', u'Single Family', u'Built in 2003', u'All time views: 2,374', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $160,000', u'Last sale price/sqft: $159', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Other', u'Garden', u'Lawn', u'Parking: Off street', u'RV Parking', u'Dryer', u'Range / Oven', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,009 sqft', u'Heating: Propane butane', u'Last remodel year: 2003', u'Laundry: In Unit', u'Parcel #: 175308988150000', u'Zillow Home ID: 6437426']	http://photos1.zillowstatic.com/p_e/ISx3xz3ik5hjwj1000000000.jpg	160000.0	[]	1009.0	NC	155770.0	27545	6437426
3.0	4	Knightdale	[u'Baths: 2 full, 1 half', u'Lot: 8,712 sqft', u'Single Family', u'Built in 2011', u'All time views: 2,840', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $240,000', u'Last sale price/sqft: $100', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, 126 sqft garage', u'Porch', u'Security System', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Brick, Shingle, Wood', u'Roof type: Shake Shingle', u'Room count: 10', u'Stories: 2', u'Structure type: Craftsman', u'Floor size: 2,389 sqft', u'Heating: Electric', u'Last remodel year: 2011', u'Laundry: In Unit', u'Parcel #: 173302877723000', u'Zillow Home ID: 114329551']	http://photos3.zillowstatic.com/p_e/ISxbbcdfv6mt2j1000000000.jpg	240000.0	[]	2389.0	NC	283749.0	27545	114329551
2.0	3	Knightdale	[u'Lot: 0.38 acres', u'Single Family', u'Built in 1994', u'All time views: 436', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $140,000', u'Last sale price/sqft: $103', u'Ceiling Fan', u'Deck', u'Fireplace', u'Dishwasher', u'Dryer', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,360 sqft', u'Last remodel year: 1994', u'Laundry: In Unit', u'Parcel #: 175418206576000', u'Zillow Home ID: 6536089']	http://photos3.zillowstatic.com/p_e/IS5mwhma8gg8n60000000000.jpg	140000.0	[]	1360.0	NC	143781.0	27545	6536089
