baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	4	Lawsonville	[u'Lot: 12.13 acres', u'Single Family', u'Built in 2003', u'All time views: 2,666', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $308,000', u'Last sale price/sqft: $114', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fireplace', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached', u'Patio', u'Storage', u'Unfinished basement', u'Vaulted Ceiling', u'Garage: Under', u'Garage: 3 Car Garage', u'City: Lawsonville', u'Allow Comments: 0', u'Location: Stokes County (NC)', u'Construction: Brick', u'Fuel: Electric', u'Sewer: Septic', u'Water Heater: Electric', u'1st Floor Bedroom', u'Exhaust Fan', u'Whirlpool', u'Window Treatment', u'Water: Well', u'Appliances: Smoke Detector', u'Fuel: Propane', u'Gravel Drive', u'Appliances: Double Oven', u'Appliances: Self Clean Oven', u'Attic: Storage Only', u'Horses Permitted', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 8', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 2,700 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 603000740080', u'Zillow Home ID: 78352439']	http://photos3.zillowstatic.com/p_e/IS5yx64ulmvyhl0000000000.jpg	308000.0	[]	2700.0	NC	324008.0	27022	78352439
2.5	3	Lawsonville	[u'Lot: 2 acres', u'Single Family', u'Built in 1970', u'All time views: 2,158', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2015 for $122,500', u'Last sale price/sqft: $71', u'Attic', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Unfinished basement', u'Living room', u'Washer', u'Family room', u'Laundry room', u'Exterior material: Brick, Wood', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,714 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 604100950922', u'Zillow Home ID: 78352520']	http://photos3.zillowstatic.com/p_e/IS5u6nb4o01ulc1000000000.jpg	122500.0	[]	1714.0	NC	113225.0	27022	78352520
2.5	4	Lawsonville	[u'Lot: 12.13 acres', u'Single Family', u'Built in 2003', u'All time views: 2,673', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $308,000', u'Last sale price/sqft: $114', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fireplace', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached', u'Patio', u'Storage', u'Unfinished basement', u'Vaulted Ceiling', u'Garage: Under', u'Garage: 3 Car Garage', u'City: Lawsonville', u'Allow Comments: 0', u'Location: Stokes County (NC)', u'Construction: Brick', u'Fuel: Electric', u'Sewer: Septic', u'Water Heater: Electric', u'1st Floor Bedroom', u'Exhaust Fan', u'Whirlpool', u'Window Treatment', u'Water: Well', u'Appliances: Smoke Detector', u'Fuel: Propane', u'Gravel Drive', u'Appliances: Double Oven', u'Appliances: Self Clean Oven', u'Attic: Storage Only', u'Horses Permitted', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 8', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 2,700 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 603000740080', u'Zillow Home ID: 78352439']	http://photos3.zillowstatic.com/p_e/IS5yx64ulmvyhl0000000000.jpg	308000.0	[]	2700.0	NC	324008.0	27022	78352439
2.5	3	Lawsonville	[u'Lot: 2 acres', u'Single Family', u'Built in 1970', u'All time views: 2,162', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2015 for $122,500', u'Last sale price/sqft: $71', u'Attic', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Unfinished basement', u'Living room', u'Washer', u'Family room', u'Laundry room', u'Exterior material: Brick, Wood', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,714 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 604100950922', u'Zillow Home ID: 78352520']	http://photos3.zillowstatic.com/p_e/IS5u6nb4o01ulc1000000000.jpg	122500.0	[]	1714.0	NC	113225.0	27022	78352520
2.5	4	Lawsonville	[u'Lot: 12.13 acres', u'Single Family', u'Built in 2003', u'All time views: 2,671', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $308,000', u'Last sale price/sqft: $114', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fireplace', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached', u'Patio', u'Storage', u'Unfinished basement', u'Vaulted Ceiling', u'Garage: Under', u'Garage: 3 Car Garage', u'City: Lawsonville', u'Allow Comments: 0', u'Location: Stokes County (NC)', u'Construction: Brick', u'Fuel: Electric', u'Sewer: Septic', u'Water Heater: Electric', u'1st Floor Bedroom', u'Exhaust Fan', u'Whirlpool', u'Window Treatment', u'Water: Well', u'Appliances: Smoke Detector', u'Fuel: Propane', u'Gravel Drive', u'Appliances: Double Oven', u'Appliances: Self Clean Oven', u'Attic: Storage Only', u'Horses Permitted', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 8', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 2,700 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 603000740080', u'Zillow Home ID: 78352439']	http://photos3.zillowstatic.com/p_e/IS5yx64ulmvyhl0000000000.jpg	308000.0	[]	2700.0	NC	324008.0	27022	78352439
2.5	3	Lawsonville	[u'Lot: 2 acres', u'Single Family', u'Built in 1970', u'All time views: 2,167', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2015 for $122,500', u'Last sale price/sqft: $71', u'Attic', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Unfinished basement', u'Living room', u'Washer', u'Family room', u'Laundry room', u'Exterior material: Brick, Wood', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,714 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 604100950922', u'Zillow Home ID: 78352520']	http://photos3.zillowstatic.com/p_e/IS5u6nb4o01ulc1000000000.jpg	122500.0	[]	1714.0	NC	113225.0	27022	78352520
2.5	4	Lawsonville	[u'Lot: 12.13 acres', u'Single Family', u'Built in 2003', u'All time views: 2,678', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $308,000', u'Last sale price/sqft: $114', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fireplace', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached', u'Patio', u'Storage', u'Unfinished basement', u'Vaulted Ceiling', u'Garage: Under', u'Garage: 3 Car Garage', u'City: Lawsonville', u'Allow Comments: 0', u'Location: Stokes County (NC)', u'Construction: Brick', u'Fuel: Electric', u'Sewer: Septic', u'Water Heater: Electric', u'1st Floor Bedroom', u'Exhaust Fan', u'Whirlpool', u'Window Treatment', u'Water: Well', u'Appliances: Smoke Detector', u'Fuel: Propane', u'Gravel Drive', u'Appliances: Double Oven', u'Appliances: Self Clean Oven', u'Attic: Storage Only', u'Horses Permitted', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 8', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 2,700 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 603000740080', u'Zillow Home ID: 78352439']	http://photos3.zillowstatic.com/p_e/IS5yx64ulmvyhl0000000000.jpg	308000.0	[]	2700.0	NC	324008.0	27022	78352439
2.5	3	Lawsonville	[u'Lot: 2 acres', u'Single Family', u'Built in 1970', u'All time views: 2,166', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2015 for $122,500', u'Last sale price/sqft: $71', u'Attic', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Unfinished basement', u'Living room', u'Washer', u'Family room', u'Laundry room', u'Exterior material: Brick, Wood', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,714 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 604100950922', u'Zillow Home ID: 78352520']	http://photos3.zillowstatic.com/p_e/IS5u6nb4o01ulc1000000000.jpg	122500.0	[]	1714.0	NC	113225.0	27022	78352520
2.5	4	Lawsonville	[u'Lot: 12.13 acres', u'Single Family', u'Built in 2003', u'All time views: 2,679', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $308,000', u'Last sale price/sqft: $114', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fireplace', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached', u'Patio', u'Storage', u'Unfinished basement', u'Vaulted Ceiling', u'Garage: Under', u'Garage: 3 Car Garage', u'City: Lawsonville', u'Allow Comments: 0', u'Location: Stokes County (NC)', u'Construction: Brick', u'Fuel: Electric', u'Sewer: Septic', u'Water Heater: Electric', u'1st Floor Bedroom', u'Exhaust Fan', u'Whirlpool', u'Window Treatment', u'Water: Well', u'Appliances: Smoke Detector', u'Fuel: Propane', u'Gravel Drive', u'Appliances: Double Oven', u'Appliances: Self Clean Oven', u'Attic: Storage Only', u'Horses Permitted', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 8', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 2,700 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 603000740080', u'Zillow Home ID: 78352439']	http://photos3.zillowstatic.com/p_e/IS5yx64ulmvyhl0000000000.jpg	308000.0	[]	2700.0	NC	324008.0	27022	78352439
2.5	3	Lawsonville	[u'Lot: 2 acres', u'Single Family', u'Built in 1970', u'All time views: 2,173', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2015 for $122,500', u'Last sale price/sqft: $71', u'Attic', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Unfinished basement', u'Living room', u'Washer', u'Family room', u'Laundry room', u'Exterior material: Brick, Wood', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,714 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 604100950922', u'Zillow Home ID: 78352520']	http://photos3.zillowstatic.com/p_e/IS5u6nb4o01ulc1000000000.jpg	122500.0	[]	1714.0	NC	113225.0	27022	78352520
