baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	2	Leasburg	[u'Lot: 3.89 acres', u'Single Family', u'Built in 1982', u'Heating: Baseboard', u'Last sold: Jun 2016 for $153,000', u'Last sale price/sqft: $168', u'Fireplace', u'Flooring: Hardwood', u'Parking: Garage - Attached, 400 sqft garage', u'Porch', u'Waterfront', u'Basement Description: No Basement', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Lot Description: Landscaped', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Master Bedroom 1st Floor: Yes', u'Design: 1.5 Story', u'Other Rooms: 1st Floor Master Bedroom', u'Dining: Eat-in Kitchen', u'Out Building', u'Subdivision: Hyco Lake', u'Water Heater: Tankless', u'Heating: Wall Heater', u'Style: Log Home', u'A: Wall Unit(s)', u'Water: Sand Filter', u'Parking: Garage', u'Acres: 3-5.9 Acres', u'Dryer', u'Washer', u'Exterior material: Wood', u'Foundation type: Concrete Block', u'Roof type: Metal', u'Stories: 0', u'Floor size: 910 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: A17  74', u'Zillow Home ID: 111328218']	http://photos2.zillowstatic.com/p_e/ISd0lgzjo8tmj71000000000.jpg	153000.0	[]	910.0	NC	155479.0	27291	111328218
2.0	4	Leasburg	[u'Lot: 3.27 acres', u'Single Family', u'Built in 1967', u'All time views: 1,234', u'Cooling: Central', u'Heating: Other', u'Last sold: Jan 2016 for $194,000', u'Last sale price/sqft: $77', u'Fireplace', u'Parking: Carport, 1 space, 200 sqft garage', u'A: Central Air', u'Equipment: Dishwasher', u'Equipment: Electric Range', u'Deck', u'A: C Age 6+ Years', u'Shower', u'Design: One Story', u'Fireplace Description: Gas Logs', u'Dining: Dining Room', u'Fireplace Description: In Family Room', u'Equipment: Refrigerator', u'Flooring: Carpet', u'Flooring: Vinyl Floor', u'Flooring: Tile Floor', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Heating: Heat Pump', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: 1st Floor', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Basement Description: Inside Entrance', u'Basement Description: Outside Entrance', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'Entrance Hall Floor: Main', u'Fireplace Description: In Den', u'Family Room Floor: Main', u'Equipment: Washer', u'Fireplace Description: Wood Stove Insert', u'Kitchen Floor: Main', u'Storage Shed', u'Lot Description: Open', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Family Room', u'Porch Floor: Main', u'Parking: Attached', u'Parking: 1 Carport', u'Deck Floor: Main', u'Parking: Circular Drive', u'Basement: Yes', u'Carport Floor: Main', u'Other Area: Main', u'Dining: Eat-in Kitchen', u'A: Heat Pump', u'Garage Floor: Main', u'Dining: Dining Room', u'Style: Ranch', u'Other Rooms: Entry Foyer', u'Subdivision: Not in a Subdivision', u'Other Rooms: Separate Living room', u'Equipment: Cooktop ? Electric', u'Ceramic Bath Wall', u'Horses Allowed', u'Other Rooms: Den', u'Washer Dryer Location: Kitchen', u'Equipment: Dwn Cook Top', u'Fireplace Description: In Basement', u'Exterior Finish: All Brick', u'Bedroom 4 Floor: Main', u'Fireplace Description: Masonry', u'Fuel Heat: Gas LP', u'Foundation: Basement', u'Roof: Roof Age 11+ Years', u'Basement Description: Partial', u'Covered Porch', u'Fireplace: 3', u'Basement Description: Garage Bsmt', u'Special Conditions: Estate', u'Parking: Garage', u'Ceiling Fan', u'Smoke Alarm', u'Walk in Closet', u'Country: USA', u'Solid Surface Counter Top', u'Acres: 3-5.9 Acres', u'Bookshelves', u'Pantry', u'Intercom Finished', u'Garage Shop', u'Fireplace Description: LP Gas', u'LA1Agent Phone1 CountryId: United States (+1)', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 0', u'Floor size: 2,512 sqft', u'Parcel #: 0128.00.00.0009.0000', u'Zillow Home ID: 110970510']	http://photos1.zillowstatic.com/p_e/ISlu9aphdj8gch1000000000.jpg	194000.0	[]	2512.0	NC	197854.0	27291	110970510
2.5	3	Leasburg	[u'Lot: 111 acres', u'Single Family', u'Built in 1926', u'All time views: 2,229', u'Cooling: Central', u'Heating: Other', u'Last sold: Nov 2015 for $325,000', u'Last sale price/sqft: $121', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Garage - Attached, Garage - Detached, 3 spaces, 400 sqft garage', u'Porch', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,688 sqft', u'Heating: Electric', u'Parcel #: 0112.00.00.0027.0000', u'Zillow Home ID: 110969686']	http://photos3.zillowstatic.com/p_e/IS9phvyo5ifsfd1000000000.jpg	325000.0	[]	2688.0	NC	483952.0	27291	110969686
2.5	4	Leasburg	[u'Lot: 19.63 acres', u'Single Family', u'Built in 2003', u'All time views: 2,354', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Aug 2015 for $352,500', u'Last sale price/sqft: $144', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Office', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,448 sqft', u'Heating: Electric', u'Zillow Home ID: 2123818505']	http://photos2.zillowstatic.com/p_e/IS5i5i9220d91g0000000000.jpg	352500.0	[]	2448.0	NC	369686.0	27291	2123818505
5.0	3	Leasburg	[u'Lot: 0.92 acres', u'Single Family', u'Built in 2002', u'All time views: 867', u'Heating: Heat pump', u'Last sold: Oct 2014 for $600,000', u'Last sale price/sqft: $127', u'Parking: Garage - Attached, 400 sqft garage', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Stories: 1.6', u'Floor size: 4,731 sqft', u'Parcel #: A16  153', u'Zillow Home ID: 111327858']	http://photos1.zillowstatic.com/p_e/ISpd7gcm1vumuu0000000000.jpg	600000.0	[]	4731.0	NC	687670.0	27291	111327858
1.0	2	Leasburg	[u'Lot: 39.09 acres', u'Single Family', u'Built in 1930', u'All time views: 1,390', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Aug 2014 for $135,000', u'Last sale price/sqft: $103', u'Flooring: Carpet, Laminate', u'Exterior material: Vinyl', u'Foundation type: Concrete Block', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,312 sqft', u'Parcel #: 0126.00.00.0037.0000', u'Zillow Home ID: 110970431']	http://photos3.zillowstatic.com/p_e/ISxvq91fphp9pi0000000000.jpg	135000.0	[]	1312.0	NC	0.0	27291	110970431
3.0	3	Leasburg	[u'Lot: 1.79 acres', u'Single Family', u'Built in 2005', u'All time views: 1,677', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jul 2014 for $450,000', u'Last sale price/sqft: $131', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, 4 spaces, 400 sqft garage', u'Patio', u'Porch', u'Wet Bar', u'Wired', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Library', u'Recreation room', u'Exterior material: Other', u'Foundation type: Stone', u'Roof type: Other', u'Room count: 10', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 3,432 sqft', u'Parcel #: 0145.00.00.0016.0000', u'Zillow Home ID: 110971325']	http://photos1.zillowstatic.com/p_e/IS-1cvg2hebrb0bh.jpg	450000.0	[]	3432.0	NC	497292.0	27291	110971325
2.0	3	Leasburg	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1992', u'All time views: 391', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2014 for $129,000', u'Last sale price/sqft: $57', u'Flooring: Carpet, Concrete', u'Dishwasher', u'Dryer', u'Range / Oven', u'Exterior material: Vinyl', u'Foundation type: Concrete Block', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Floor size: 2,278 sqft', u'Laundry: In Unit', u'Parcel #: A7  53', u'Zillow Home ID: 111336257']	http://photos1.zillowstatic.com/p_e/IS-1bqxpiyyxqg65.jpg	129000.0	[]	2278.0	NC	173117.0	27291	111336257
2.0	3	Leasburg	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1992', u'All time views: 1,742', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2014 for $129,000', u'Last sale price/sqft: $113', u'Flooring: Carpet, Concrete', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,139 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2115468258']	http://photos2.zillowstatic.com/p_e/IS5y9oti7a8wct0000000000.jpg	129000.0	[]	1139.0	NC	118754.0	27291	2115468258
1.0	2	Leasburg	[u'Lot: 3.89 acres', u'Single Family', u'Built in 1982', u'Heating: Baseboard', u'Last sold: Jun 2016 for $153,000', u'Last sale price/sqft: $168', u'Fireplace', u'Flooring: Hardwood', u'Parking: Garage - Attached, 400 sqft garage', u'Porch', u'Waterfront', u'Basement Description: No Basement', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Lot Description: Landscaped', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Master Bedroom 1st Floor: Yes', u'Design: 1.5 Story', u'Other Rooms: 1st Floor Master Bedroom', u'Dining: Eat-in Kitchen', u'Out Building', u'Subdivision: Hyco Lake', u'Water Heater: Tankless', u'Heating: Wall Heater', u'Style: Log Home', u'A: Wall Unit(s)', u'Water: Sand Filter', u'Parking: Garage', u'Acres: 3-5.9 Acres', u'Dryer', u'Washer', u'Exterior material: Wood', u'Foundation type: Concrete Block', u'Roof type: Metal', u'Stories: 0', u'Floor size: 910 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: A17  74', u'Zillow Home ID: 111328218']	http://photos2.zillowstatic.com/p_e/ISd0lgzjo8tmj71000000000.jpg	153000.0	[]	910.0	NC	155479.0	27291	111328218
2.0	4	Leasburg	[u'Lot: 3.27 acres', u'Single Family', u'Built in 1967', u'All time views: 1,235', u'Cooling: Central', u'Heating: Other', u'Last sold: Jan 2016 for $194,000', u'Last sale price/sqft: $77', u'Fireplace', u'Parking: Carport, 1 space, 200 sqft garage', u'A: Central Air', u'Equipment: Dishwasher', u'Equipment: Electric Range', u'Deck', u'A: C Age 6+ Years', u'Shower', u'Design: One Story', u'Fireplace Description: Gas Logs', u'Dining: Dining Room', u'Fireplace Description: In Family Room', u'Equipment: Refrigerator', u'Flooring: Carpet', u'Flooring: Vinyl Floor', u'Flooring: Tile Floor', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Heating: Heat Pump', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: 1st Floor', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Basement Description: Inside Entrance', u'Basement Description: Outside Entrance', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'Entrance Hall Floor: Main', u'Fireplace Description: In Den', u'Family Room Floor: Main', u'Equipment: Washer', u'Fireplace Description: Wood Stove Insert', u'Kitchen Floor: Main', u'Storage Shed', u'Lot Description: Open', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Family Room', u'Porch Floor: Main', u'Parking: Attached', u'Parking: 1 Carport', u'Deck Floor: Main', u'Parking: Circular Drive', u'Basement: Yes', u'Carport Floor: Main', u'Other Area: Main', u'Dining: Eat-in Kitchen', u'A: Heat Pump', u'Garage Floor: Main', u'Dining: Dining Room', u'Style: Ranch', u'Other Rooms: Entry Foyer', u'Subdivision: Not in a Subdivision', u'Other Rooms: Separate Living room', u'Equipment: Cooktop ? Electric', u'Ceramic Bath Wall', u'Horses Allowed', u'Other Rooms: Den', u'Washer Dryer Location: Kitchen', u'Equipment: Dwn Cook Top', u'Fireplace Description: In Basement', u'Exterior Finish: All Brick', u'Bedroom 4 Floor: Main', u'Fireplace Description: Masonry', u'Fuel Heat: Gas LP', u'Foundation: Basement', u'Roof: Roof Age 11+ Years', u'Basement Description: Partial', u'Covered Porch', u'Fireplace: 3', u'Basement Description: Garage Bsmt', u'Special Conditions: Estate', u'Parking: Garage', u'Ceiling Fan', u'Smoke Alarm', u'Walk in Closet', u'Country: USA', u'Solid Surface Counter Top', u'Acres: 3-5.9 Acres', u'Bookshelves', u'Pantry', u'Intercom Finished', u'Garage Shop', u'Fireplace Description: LP Gas', u'LA1Agent Phone1 CountryId: United States (+1)', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 0', u'Floor size: 2,512 sqft', u'Parcel #: 0128.00.00.0009.0000', u'Zillow Home ID: 110970510']	http://photos1.zillowstatic.com/p_e/ISlu9aphdj8gch1000000000.jpg	194000.0	[]	2512.0	NC	197854.0	27291	110970510
2.5	3	Leasburg	[u'Lot: 111 acres', u'Single Family', u'Built in 1926', u'All time views: 2,225', u'Cooling: Central', u'Heating: Other', u'Last sold: Nov 2015 for $325,000', u'Last sale price/sqft: $121', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Garage - Attached, Garage - Detached, 3 spaces, 400 sqft garage', u'Porch', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,688 sqft', u'Heating: Electric', u'Parcel #: 0112.00.00.0027.0000', u'Zillow Home ID: 110969686']	http://photos3.zillowstatic.com/p_e/IS9phvyo5ifsfd1000000000.jpg	325000.0	[]	2688.0	NC	483952.0	27291	110969686
2.5	4	Leasburg	[u'Lot: 19.63 acres', u'Single Family', u'Built in 2003', u'All time views: 2,359', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Aug 2015 for $352,500', u'Last sale price/sqft: $144', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Office', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,448 sqft', u'Heating: Electric', u'Zillow Home ID: 2123818505']	http://photos2.zillowstatic.com/p_e/IS5i5i9220d91g0000000000.jpg	352500.0	[]	2448.0	NC	369686.0	27291	2123818505
5.0	3	Leasburg	[u'Lot: 0.92 acres', u'Single Family', u'Built in 2002', u'All time views: 866', u'Heating: Heat pump', u'Last sold: Oct 2014 for $600,000', u'Last sale price/sqft: $127', u'Parking: Garage - Attached, 400 sqft garage', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Stories: 1.6', u'Floor size: 4,731 sqft', u'Parcel #: A16  153', u'Zillow Home ID: 111327858']	http://photos1.zillowstatic.com/p_e/ISpd7gcm1vumuu0000000000.jpg	600000.0	[]	4731.0	NC	687670.0	27291	111327858
1.0	2	Leasburg	[u'Lot: 39.09 acres', u'Single Family', u'Built in 1930', u'All time views: 1,389', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Aug 2014 for $135,000', u'Last sale price/sqft: $103', u'Flooring: Carpet, Laminate', u'Exterior material: Vinyl', u'Foundation type: Concrete Block', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,312 sqft', u'Parcel #: 0126.00.00.0037.0000', u'Zillow Home ID: 110970431']	http://photos3.zillowstatic.com/p_e/ISxvq91fphp9pi0000000000.jpg	135000.0	[]	1312.0	NC	0.0	27291	110970431
3.0	3	Leasburg	[u'Lot: 1.79 acres', u'Single Family', u'Built in 2005', u'All time views: 1,675', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jul 2014 for $450,000', u'Last sale price/sqft: $131', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, 4 spaces, 400 sqft garage', u'Patio', u'Porch', u'Wet Bar', u'Wired', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Library', u'Recreation room', u'Exterior material: Other', u'Foundation type: Stone', u'Roof type: Other', u'Room count: 10', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 3,432 sqft', u'Parcel #: 0145.00.00.0016.0000', u'Zillow Home ID: 110971325']	http://photos1.zillowstatic.com/p_e/IS-1cvg2hebrb0bh.jpg	450000.0	[]	3432.0	NC	497292.0	27291	110971325
2.0	3	Leasburg	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1992', u'All time views: 392', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2014 for $129,000', u'Last sale price/sqft: $57', u'Flooring: Carpet, Concrete', u'Dishwasher', u'Dryer', u'Range / Oven', u'Exterior material: Vinyl', u'Foundation type: Concrete Block', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Floor size: 2,278 sqft', u'Laundry: In Unit', u'Parcel #: A7  53', u'Zillow Home ID: 111336257']	http://photos1.zillowstatic.com/p_e/IS-1bqxpiyyxqg65.jpg	129000.0	[]	2278.0	NC	173117.0	27291	111336257
2.0	3	Leasburg	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1992', u'All time views: 1,743', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2014 for $129,000', u'Last sale price/sqft: $113', u'Flooring: Carpet, Concrete', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,139 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2115468258']	http://photos2.zillowstatic.com/p_e/IS5y9oti7a8wct0000000000.jpg	129000.0	[]	1139.0	NC	118754.0	27291	2115468258
1.0	2	Leasburg	[u'Lot: 3.89 acres', u'Single Family', u'Built in 1982', u'All time views: 1,280', u'Heating: Baseboard', u'Last sold: Jun 2016 for $153,000', u'Last sale price/sqft: $168', u'Fireplace', u'Flooring: Hardwood', u'Parking: Garage - Attached, 400 sqft garage', u'Porch', u'Waterfront', u'Basement Description: No Basement', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Lot Description: Landscaped', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Master Bedroom 1st Floor: Yes', u'Design: 1.5 Story', u'Other Rooms: 1st Floor Master Bedroom', u'Dining: Eat-in Kitchen', u'Out Building', u'Subdivision: Hyco Lake', u'Water Heater: Tankless', u'Heating: Wall Heater', u'Style: Log Home', u'A: Wall Unit(s)', u'Water: Sand Filter', u'Parking: Garage', u'Acres: 3-5.9 Acres', u'Dryer', u'Washer', u'Exterior material: Wood', u'Foundation type: Concrete Block', u'Roof type: Metal', u'Stories: 0', u'Floor size: 910 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: A17  74', u'Zillow Home ID: 111328218']	http://photos2.zillowstatic.com/p_e/ISd0lgzjo8tmj71000000000.jpg	153000.0	[]	910.0	NC	155479.0	27291	111328218
