baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Lewisville	[u'Baths: 2 full, 1 half', u'Lot: 9,583 sqft', u'Single Family', u'Built in 2000', u'All time views: 5,982', u'Heating: Forced air', u'Last sold: Aug 2016 for $220,000', u'Last sale price/sqft: $90', u'339 sqft basement', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Security System', u'Skylight', u'Sprinkler System', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,448 sqft', u'Lot depth: 134 ft', u'Lot width: 70 ft', u'Parcel #: 5885563844', u'Zillow Home ID: 51625411']	http://photos2.zillowstatic.com/p_e/ISp1iwy2v717ed1000000000.jpg	220000.0	[]	2448.0	NC	223683.0	27023	51625411
3.0	3	Lewisville	[u'Baths: 2 full, 1 half', u'Lot: 0.32 acres', u'Single Family', u'Built in 1990', u'All time views: 1,717', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $180,000', u'Last sale price/sqft: $100', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces', u'Unfinished basement', u'Vaulted Ceiling', u'Appliances: Exhaust Fan', u'Attic Description: Walk in Attic', u'Built Information: Existing', u'Paved Drive', u'Security Lighting', u'Association: Winston-Salem', u'Status: Pending', u'Water: Public', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Pantry', u'Foundation Basement: Basement', u'Insulated Windows', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Typeof Sale: Owner Sale', u'Story Number: 1.5', u'Water Heater: Electric', u'Appliances: Disposal', u'Laundry Room - Main Level', u'Smoke Alarm', u'Sewer: Public', u'Attic Description: Floored Attic', u'Heating: Multi-Zone', u'Fenced', u'Attic Description: Eave Storage', u'Lot Description: Fence(s)', u'Style: Farm House', u'Elementary School: Lewisville', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 1,805 sqft', u'Heating: Electric, Gas', u'Lot depth: 141 ft', u'Lot width: 100 ft', u'Parcel #: 5885458274', u'Zillow Home ID: 5808716']	http://photos3.zillowstatic.com/p_e/IStkblxa0w8fxf.jpg	180000.0	[]	1805.0	NC	168146.0	27023	5808716
2.5	4	Lewisville	[u'Baths: 2 full, 1 half', u'Lot: 10,454 sqft', u'Single Family', u'Built in 2009', u'All time views: 3,866', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $275,500', u'Last sale price/sqft: $108', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 440 sqft garage', u'Porch', u'Security System', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Style: Traditional', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Pantry', u'Separate Shower', u'Solid Surface Counter', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Appliances: Disposal', u'Laundry Room - Main Level', u'Smoke Alarm', u'Garden Tub', u'Sewer: Public', u'Lot Description: Partially Wooded', u'HOA Fee Paid 1: Annual', u'Exterior Finish: Brick', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,540 sqft', u'Heating: Electric, Gas', u'Lot depth: 150 ft', u'Lot width: 65 ft', u'Parcel #: 5885963687', u'Zillow Home ID: 79890184']	http://photos1.zillowstatic.com/p_e/IS9twdydaptpjf1000000000.jpg	275500.0	[]	2540.0	NC	286233.0	27023	79890184
7.0	5	Lewisville	[u'Baths: 5 full, 2 half', u'Lot: 2.45 acres', u'Single Family', u'Built in 2008', u'All time views: 5,502', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $146,500', u'Last sale price/sqft: $21', u'3000 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Elevator', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Gated Entry', u'Hot Tub/Spa', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 3 spaces, 1027 sqft garage', u'Partial basement', u'Patio', u'Pond', u'Pool', u'Porch', u'Security System', u'Sprinkler System', u'Storage', u'Vaulted Ceiling', u'View: Water', u'Wet Bar', u'Wired', u'Appliances: Built-In Oven', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Status: Pending', u'Water: Public', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Separate Shower', u'Foundation Basement: Basement', u'Solid Surface Counter', u'Insulated Windows', u'List Type: Exclusive Right to Sell', u'Miscellaneous: Great Room', u'Sewer: Septic', u'Miscellaneous: Balcony', u'Insulated Doors', u'Story Number: 2', u'Accent Lighting', u'Typeof Sale: Owner Sale', u'Kitchen Island', u'Laundry Room - Main Level', u'Garden Tub', u'Elementary School: Call School Board', u'Attic Description: Floored Attic', u'Built-in Furniture', u'Appliances: Double Oven', u'Attic Description: Eave Storage', u'Laundry Room - 2nd Level', u'CO Detector', u'Lot Description: Partially Wooded', u'Lot Description: Lake Front', u'Breezeway', u'Style: French Provincial', u'Humidifer', u'Electronic Air Filter', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Laundry room', u'Library', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Stone, Vinyl', u'Roof type: Asphalt', u'Room count: 18', u'Stories: 2', u'Structure type: French', u'Floor size: 7,003 sqft', u'Heating: None', u'Laundry: In Unit', u'Parcel #: 5875154730', u'Zillow Home ID: 84109787']	http://photos1.zillowstatic.com/p_e/ISxzdymr2zbknf1000000000.jpg	146500.0	[]	7003.0	NC	1503728.0	27023	84109787
3.0	4	Lewisville	[u'Lot: 0.35 acres', u'Single Family', u'Built in 1987', u'All time views: 2,726', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $178,000', u'Last sale price/sqft: $66', u'1000 sqft basement', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 420 sqft garage', u'Garbage disposal', u'Range / Oven', u'Dining room', u'Office', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 9', u'Stories: 0', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,713 sqft', u'Heating: Electric', u'Lot depth: 159 ft', u'Lot width: 100 ft', u'Parcel #: 5885359435', u'Zillow Home ID: 5808779']	http://photos2.zillowstatic.com/p_e/ISt8e917rejj6z0000000000.jpg	178000.0	[]	2713.0	NC	184512.0	27023	5808779
2.0	3	Lewisville	[u'Lot: 0.54 acres', u'Single Family', u'Built in 1990', u'All time views: 553', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $142,500', u'Last sale price/sqft: $76', u'322 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Parking: Carport, Garage - Detached', u'Security System', u'Appliances: Exhaust Fan', u'Attic Description: Access Only', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Status: Pending', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Pantry', u'Foundation Basement: Basement', u'Washer Connection', u'Laundry Room - Basement', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Smoke Alarm', u'Story Number: 1', u'Style: Ranch', u'Elementary School: Call School Board', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,874 sqft', u'Heating: Electric', u'Lot depth: 180 ft', u'Lot width: 130 ft', u'Parcel #: 5865704743', u'Zillow Home ID: 5807998']	http://photos1.zillowstatic.com/p_e/IS9le6ugxfho091000000000.jpg	142500.0	[]	1874.0	NC	140221.0	27023	5807998
1.0	2	Lewisville	[u'Lot: 4.34 acres', u'Single Family', u'Built in 1953', u'106 days on Zillow', u'Views since listing: 1,391', u'All time views: 3,210', u'22 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $125,000', u'Last sale price/sqft: $86', u'MLS #: 794492', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Carport, Garage - Attached, Garage - Detached, 740 sqft garage', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dryer Connection', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Story Number: 1', u'Property Sub Type: Site Built', u'Microwave', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,448 sqft', u'Heating: Oil', u'Parcel #: 5855978327', u'Zillow Home ID: 5808189']	http://photos3.zillowstatic.com/p_e/ISxn4rp11pqfzv1000000000.jpg	125000.0	[]	1448.0	NC	133638.0	27023	5808189
4.5	5	Lewisville	[u'Lot: 1.93 acres', u'Single Family', u'Built in 2001', u'All time views: 1,236', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $116,500', u'Last sale price/sqft: $23', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Gated Entry', u'Hot Tub/Spa', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 775 sqft garage', u'Patio', u'Pool', u'Porch', u'Security System', u'Sprinkler System', u'Vaulted Ceiling', u'Wired', u'Luxurious Pool and Pool House', u'Central Vac', u'Newly Rnovated in 2010 and 2011', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick, Stone, Vinyl', u'Roof type: Asphalt', u'Room count: 14', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 5,010 sqft', u'Heating: Gas', u'Last remodel year: 2011', u'Laundry: In Unit', u'Lot width: 196 ft', u'Parcel #: 5865334534', u'Zillow Home ID: 51625473']	http://photos3.zillowstatic.com/p_e/IS-15t04xix1uonx.jpg	116500.0	[]	5010.0	NC	884591.0	27023	51625473
5.0	5	Lewisville	[u'Baths: 4 full, 1 half', u'Lot: 4.99 acres', u'Single Family', u'Built in 1975', u'All time views: 7,559', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $595,000', u'Last sale price/sqft: $120', u'Attic', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet', u'Garden', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 644 sqft garage', u'Patio', u'Pond', u'Pool', u'Porch', u'Security System', u'Skylight', u'Vaulted Ceiling', u'Wet Bar', u'Wired', u'Must See!', u'Dishwasher', u'Dining room', u'Exterior material: Stone', u'Roof type: Asphalt', u'Room count: 14', u'Stories: 2', u'Structure type: Modern', u'Unit count: 1', u'Floor size: 4,973 sqft', u'Parcel #: 5855843354', u'Zillow Home ID: 5808197']	http://photos3.zillowstatic.com/p_e/ISts93xu3co6wx1000000000.jpg	595000.0	[]	4973.0	NC	761350.0	27023	5808197
2.0	3	Lewisville	[u'Lot: 0.42 acres', u'Single Family', u'Built in 1969', u'All time views: 560', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $107,000', u'Last sale price/sqft: $103', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Garden', u'Parking: Carport, Garage - Attached', u'Patio', u'Porch', u'Attic Description: Access Only', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Status: Pending', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Gas Logs', u'Separate Shower', u'Insulated Windows', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Foundation Basement: Slab', u'Lot Description: Level', u'Storm Doors', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Sewer: Public', u'Style: Ranch', u'Fenced', u'Lot Description: Fence(s)', u'Elementary School: Lewisville', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,040 sqft', u'Heating: Electric', u'Lot depth: 168 ft', u'Lot width: 101 ft', u'Parcel #: 5885612751', u'Zillow Home ID: 5811159']	http://photos2.zillowstatic.com/p_e/ISph6ys3ml3qg20000000000.jpg	107000.0	[]	1040.0	NC	112665.0	27023	5811159
