baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Lexington	[u'Lot: 0.29 acres', u'Single Family', u'Built in 1994', u'159 days on Zillow', u'Views since listing: 3,004', u'All time views: 5,158', u'57 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $259,900', u'Last sale price/sqft: $150', u'MLS #: 787664', u'View Virtual Tour', u'864 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Dock', u'Double Pane/Storm Windows', u'Finished basement', u'Flooring: Hardwood, Tile', u'Hot Tub/Spa', u'Parking: Carport, Off street', u'Patio', u'Porch', u'RV Parking', u'Storage', u'View: Water', u'Waterfront', u'Boat house', u'storage building', u'deck above boat house', u'pier', u'floating dock', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,728 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 2010', u'Parcel #: 06027F0000027A', u'Zillow Home ID: 5714780']	http://photos3.zillowstatic.com/p_e/IS5uy0x7h690dz0000000000.jpg	259900.0	[]	1728.0	NC	249115.0	27292	5714780
3.0	3	Lexington	[u'Baths: 1 full, 2 half', u'Lot: 1.06 acres', u'Single Family', u'Built in 1968', u'All time views: 1,639', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $13,000,000', u'Last sale price/sqft: $8,678', u'1264 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Garage - Attached, Off street, 2 spaces', u'Partial basement', u'Patio', u'Security System', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Master bath', u'Recreation room', u'Workshop', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,498 sqft', u'Heating: Gas', u'Last remodel year: 1995', u'Lot depth: 165 ft', u'Lot width: 280 ft', u'Parcel #: 06003C0000007', u'Zillow Home ID: 5712999']	http://photos3.zillowstatic.com/p_e/ISts5go9qy5p3u0000000000.jpg	13000000.0	[]	1498.0	NC	131559.0	27292	5712999
2.0	3	Lexington	[u'Lot: 0.27 acres', u'Single Family', u'Built in 2003', u'All time views: 1,244', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $40,000', u'Last sale price/sqft: $36', u'Ceiling Fan', u'Deck', u'Fireplace', u'Porch', u'Attic Description: Access Only', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Water: Public', u'Dryer Connection', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Water Heater: Electric', u'Association: High Point', u'Story Number: 1', u'Sewer: Public', u'Style: Ranch', u'Typeof Sale: Bank', u'Elementary School: Lexington City', u'Property Sub Type: Site Built', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,101 sqft', u'Heating: Electric', u'Last remodel year: 2003', u'Lot depth: 140 ft', u'Lot width: 131 ft', u'Parcel #: 11066A0000001', u'Zillow Home ID: 61460594']	http://photos2.zillowstatic.com/p_e/ISyjpgwm2x90t20000000000.jpg	40000.0	[]	1101.0	NC	65011.0	27292	61460594
3.5	4	Lexington	[u'Baths: 3 full, 1 half', u'Lot: 1.77 acres', u'Single Family', u'Built in 1962', u'All time views: 4,014', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $300,000', u'Last sale price/sqft: $71', u'1152 sqft basement', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 552 sqft garage', u'Patio', u'Wet Bar', u'Appliances: Built-In Oven', u'Appliances: Cook Top', u'Appliances: Exhaust Fan', u'Attic Description: Partially Floored', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'Lot Description: Golf Course Lot', u'Status: Pending', u'Water: Public', u'Built-in Shelves', u'Dryer Connection', u'Garage Door Opener(s)', u'Pantry', u'Foundation Basement: Basement', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Miscellaneous: Great Room', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Appliances: Disposal', u'Laundry Room - Main Level', u'Story Number: 1', u'Style: Ranch', u'Heating: Multi-Zone', u'Attic Description: Permanent Stairs', u'Lot Description: Cul De Sac', u'Appliances: Remarks', u'Exterior Finish: Brick', u'Dishwasher', u'Microwave', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 4,216 sqft', u'Heating: Gas', u'Last remodel year: 1980', u'Lot depth: 280 ft', u'Lot width: 275 ft', u'Parcel #: 11341D0000027B', u'Zillow Home ID: 5728499']	http://photos2.zillowstatic.com/p_e/IS1jb8d1ke1h220000000000.jpg	300000.0	[]	4216.0	NC	349099.0	27292	5728499
1.5	3	Lexington	[u'Lot: 0.51 acres', u'Single Family', u'Built in 1978', u'All time views: 256', u'Heating: Baseboard', u'Last sold: Aug 2016 for $90,000', u'Last sale price/sqft: $85', u'Fireplace', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,053 sqft', u'Last remodel year: 1985', u'Lot depth: 238 ft', u'Lot width: 93 ft', u'Parcel #: 06022G0000003', u'Zillow Home ID: 5714038']	http://photos1.zillowstatic.com/p_e/ISpltu4y076er41000000000.jpg	90000.0	[]	1053.0	NC	87436.0	27292	5714038
3.0	2	Lexington	[u'Baths: 2 full, 1 half', u'Lot: 0.42 acres', u'Single Family', u'Built in 1964', u'193 days on Zillow', u'Views since listing: 2,640', u'All time views: 3,841', u'23 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $320,000', u'Last sale price/sqft: $171', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Other', u'Lawn', u'View: Water', u'Waterfront', u'Dishwasher', u'Freezer', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Master bath', u'Sun room', u'Walk-in closet', u'Workshop', u'Exterior material: Other, Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,872 sqft', u'Heating: Electric, Gas', u'Last remodel year: 1990', u'Lot depth: 185 ft', u'Lot width: 100 ft', u'Parcel #: 06030C00D0013', u'Zillow Home ID: 5715017']	http://photos2.zillowstatic.com/p_e/IShn1gdtd0no4x0000000000.jpg	320000.0	[]	1872.0	NC	341727.0	27292	5715017
2.5	4	Lexington	[u'Baths: 2 full, 1 half', u'Lot: 0.53 acres', u'Single Family', u'Built in 1953', u'All time views: 7,098', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $165,000', u'Last sale price/sqft: $61', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 550 sqft garage', u'Security System', u'Attic Description: Access Only', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Style: Traditional', u'Water: Public', u'Dryer Connection', u'Pantry', u'Foundation Basement: Basement', u'Insulated Windows', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Typeof Sale: Owner Sale', u'Story Number: 1.5', u'Water Heater: Electric', u'Association: High Point', u'Privacy Fence', u'Sewer: Public', u'Laundry Room - 2nd Level', u'Elementary School: Lexington City', u'Status: Due Diligence Period', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,715 sqft', u'Heating: Gas', u'Last remodel year: 1970', u'Lot depth: 179 ft', u'Lot width: 130 ft', u'Parcel #: 11116000C0008B', u'Zillow Home ID: 5722977']	http://photos3.zillowstatic.com/p_e/ISt8mvrg46dd0e0000000000.jpg	165000.0	[]	2715.0	NC	168443.0	27292	5722977
2.0	3	Lexington	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1995', u'All time views: 2,277', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $25,500', u'Last sale price/sqft: $17', u'Fireplace', u'Parking: 384 sqft garage', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,515 sqft', u'Last remodel year: 1995', u'Lot depth: 200 ft', u'Lot width: 100 ft', u'Parcel #: 06018A0000032', u'Zillow Home ID: 5713831']	http://photos2.zillowstatic.com/p_e/ISdw56akchzp181000000000.jpg	25500.0	[]	1515.0	NC	134347.0	27292	5713831
1.0	3	Lexington	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1984', u'All time views: 1,755', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $118,900', u'Last sale price/sqft: $81', u'800 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Laminate, Tile', u'Parking: Off street, 200 sqft garage', u'Partial basement', u'Porch', u'Attic Description: Access Only', u'Built Information: Existing', u'Security Lighting', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Association: Lexington Davidson County Assn of Realtors', u'Foundation Basement: Basement', u'Insulated Windows', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Insulated Doors', u'Storm Doors', u'Accent Lighting', u'Typeof Sale: Owner Sale', u'Status: Active', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Style: Ranch', u'Lot Description: Partially Wooded', u'Lot Description: Partially Cleared', u'Tile Counter', u'2nd Washer Connection', u'2nd Dryer Connection', u'Property Sub Type: Site Built', u'Refrigerator', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,475 sqft', u'Heating: Electric', u'Last remodel year: 1985', u'Lot width: 125 ft', u'Parcel #: 15013D0000012', u'Zillow Home ID: 5735532']	http://photos1.zillowstatic.com/p_e/IS9ptswq3ojxop1000000000.jpg	118900.0	[]	1475.0	NC	112020.0	27292	5735532
1.0	3	Lexington	[u'Lot: 0.88 acres', u'Single Family', u'Built in 1980', u'All time views: 508', u'Cooling: Wall', u'Heating: Heat pump', u'Last sold: Jul 2016 for $92,000', u'Last sale price/sqft: $92', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Porch', u'Appliances: Exhaust Fan', u'Attic Description: Access Only', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Association: Lexington Davidson County Assn of Realtors', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Lot Description: Level', u'Sewer: Septic', u'Insulated Doors', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Privacy Fence', u'Style: Ranch', u'Storm Windows', u'Heating: Remarks', u'Elementary School: Davis-Townsend', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,000 sqft', u'Heating: Electric', u'Last remodel year: 1985', u'Lot width: 100 ft', u'Parcel #: 05015C0000004', u'Zillow Home ID: 53136864']	http://photos3.zillowstatic.com/p_e/IS9d80zorvfasd0000000000.jpg	92000.0	[]	1000.0	NC	86200.0	27292	53136864
