baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.5	4	Lillington	[u'Baths: 3 full, 1 half', u'Lot: 0.55 acres', u'Single Family', u'Built in 2016', u'All time views: 13', u'Heating: Heat pump', u'Last sold: Aug 2016 for $270,911', u'Last sale price/sqft: $89', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Porch', u'Security System', u'Appliance: D HOOKUPS', u'SMOKE ALARM(S)', u'GARDEN TUB', u'Sewer: Septic Tank', u'TypeHeat: C', u'SEPARATE SHOWER', u'Misc: OTHER BR DOWNSTAIRS', u'Gas: Propane', u'Miscellaneous: FINISHED BONUS ROOM', u'Misc: INSULATED WINDOW(S)', u'PropertyType: New Construction', u'Water: Harnett County', u'Style: Two Story', u'Misc: GRANITE COUNTERTOP', u'Misc: KITCHEN ISLAND', u'Construction Type: Stone Veneer Vinyl Siding', u'Contingency Type: Contingent on closing', u'SqFt Range: 3001 TO 3500', u'Electric: DUKE PROGRESS ENERGY', u'Condition: New Construction', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 3,032 sqft', u'Heating: Electric', u'Parcel #: 03050701  0200 10', u'Zillow Home ID: 126230149']	http://photos2.zillowstatic.com/p_e/ISa52evjp9kjzp0000000000.jpg	270911.0	[]	3032.0	NC	270301.0	27546	126230149
2.0	3	Lillington	[u'Lot: 0.52 acres', u'Single Family', u'Built in 1986', u'All time views: 1,512', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $118,000', u'Last sale price/sqft: $102', u'Ceiling Fan', u'Flooring: Carpet, Laminate, Tile', u'Parking: 480 sqft garage', u'Porch', u'Gutters', u'Shower', u'Design: One Story', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: 1st Floor', u'Washer Dryer Location: Utility Room WD', u'Water: Septic Tank', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'Breakfast Room Floor: Main', u'Garage Floor: Main', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Insulated Windows', u'Water: County Water', u'Roof: Roof Age 11+ Years', u'Detached Workshop', u'Other Rooms: Workshop', u'Parking: Garage', u'Smoke Alarm', u'Acres: .51-.75 Acres', u'Garage Shop', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,152 sqft', u'Heating: Electric', u'Last remodel year: 1986', u'Laundry: In Unit', u'Parcel #: 100558    0024', u'Zillow Home ID: 71866525']	http://photos2.zillowstatic.com/p_e/ISyjldzr8wx7x90000000000.jpg	118000.0	[]	1152.0	NC	110651.0	27546	71866525
2.0	3	Lillington	[u'Lot: 0.9 acres', u'Single Family', u'Built in 2006', u'9 days on Zillow', u'All time views: 2,356', u'36 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $175,000', u'Last sale price/sqft: $80', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 789 sqft garage', u'Patio', u'Porch', u'Security System', u'Appliance: RANGE', u'Appliance: D HOOKUPS', u'Gas: None', u'SMOKE ALARM(S)', u'Miscellaneous: FOYER', u'PropertyType: Residential', u'Style: Ranch', u'TypeHeat: C', u'SEPARATE SHOWER', u'SiteDescription: REAR FENCING', u'Sewer: Harnett County', u'Water: Harnett County', u'Construction Type: Brick Veneer', u'Condition: Good', u'Miscellaneous: GUTTER', u'Zoning: Residential Agricultural', u'SqFt Range: 2201 TO 2400', u'Miscellaneous: CLOSET', u'Electric: DUKE PROGRESS ENERGY', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Exterior material: Other', u'Roof type: Other', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,201 sqft', u'Heating: None', u'Last remodel year: 2006', u'Parcel #: 100568    0038 01', u'Zillow Home ID: 71848441']	http://photos1.zillowstatic.com/p_e/ISdw5uo3c3g3v41000000000.jpg	175000.0	[]	2201.0	NC	182687.0	27546	71848441
2.5	4	Lillington	[u'Baths: 2 full, 1 half', u'Lot: 0.34 acres', u'Single Family', u'Built in 2013', u'All time views: 961', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $217,000', u'Last sale price/sqft: $84', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: 462 sqft garage', u'Garage Count: 2 Car Garage', u'Kitchen Granite Countertops', u'General: Smoke Detector', u'Basement: Slab Foundation', u'Dishwasher', u'Microwave', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 2,576 sqft', u'Last remodel year: 2013', u'Parcel #: 01053610  0028 70', u'Zillow Home ID: 122176998']	http://photos1.zillowstatic.com/p_e/ISa1z8q0orpxti1000000000.jpg	217000.0	[]	2576.0	NC	219576.0	27546	122176998
3.0	3	Lillington	[u'Baths: 2 full, 1 half', u'Lot: 0.5 acres', u'Single Family', u'Built in 2005', u'All time views: 1,696', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $180,000', u'Last sale price/sqft: $78', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 441 sqft garage', u'Vaulted Ceiling', u'Appliance: RANGE', u'SMOKE ALARM(S)', u'BLINDS', u'GARDEN TUB', u'Miscellaneous: WINDOW TREATMENTS', u'PropertyType: Residential', u'Sewer: Septic Tank', u'SiteDescription: PRIVACY FENCE', u'TypeHeat: C', u'GAS LOGS', u'Misc: STORM DOOR(S)', u'SiteDescription: CUL DE SAC', u'Misc: MBR DOWNSTAIRS', u'Miscellaneous: OUTSIDE STORAGE', u'Construction Type: Brick Veneer and Siding', u'Miscellaneous: FINISHED BONUS ROOM', u'SiteDescription: FULLY FENCED', u'Water: Harnett County', u'Condition: Good', u'Style: Two Story', u'Floors: CERAMIC', u'TREY CEILING(S)', u'Electric: Central Electric Membership', u'SqFt Range: 2201 TO 2400', u'Dishwasher', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Floor size: 2,301 sqft', u'Last remodel year: 2005', u'Parcel #: 01053601  0028 06', u'Zillow Home ID: 71856520']	http://photos2.zillowstatic.com/p_e/IShzqzima20dl31000000000.jpg	180000.0	[]	2301.0	NC	189035.0	27546	71856520
2.5	3	Lillington	[u'Baths: 2 full, 1 half', u'Lot: 0.47 acres', u'Single Family', u'Built in 2015', u'All time views: 861', u'Heating: Heat pump', u'Last sold: Jul 2016 for $208,400', u'Last sale price/sqft: $99', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Tile', u'Porch', u'Security System', u'Appliance: RANGE', u'SMOKE ALARM(S)', u'GARDEN TUB', u'Sewer: Septic Tank', u'TypeHeat: C', u'SEPARATE SHOWER', u'Construction Type: Vinyl Siding', u'Miscellaneous: FINISHED BONUS ROOM', u'PropertyType: New Construction', u'Water: Harnett County', u'Condition: Good', u'Style: Two Story', u'Miscellaneous: GUTTER', u'Misc: GRANITE COUNTERTOP', u'SiteDescription: COMMUNITY POOL', u'Contingency Type: Contingent on sale and closing', u'SqFt Range: 2201 TO 2400', u'Electric: DUKE PROGRESS ENERGY', u'Dishwasher', u'Microwave', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 2,107 sqft', u'Parcel #: 110651    0057 79', u'Zillow Home ID: 71855489']	http://photos1.zillowstatic.com/p_e/ISu8aihqexhiec1000000000.jpg	208400.0	[]	2107.0	NC	213815.0	27546	71855489
2.5	3	Lillington	[u'Lot: 0.45 acres', u'Single Family', u'Built in 2016', u'All time views: 561', u'Heating: Heat pump', u'Last sold: Jul 2016 for $196,900', u'Last sale price/sqft: $100', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Tile', u'Parking: 2 spaces', u'Appliance: RANGE', u'Appliance: D HOOKUPS', u'SMOKE ALARM(S)', u'GARDEN TUB', u'Miscellaneous: SLAB FOUNDATION', u'Sewer: Septic Tank', u'SEPARATE SHOWER', u'Construction Type: Vinyl Siding', u'Misc: MBR DOWNSTAIRS', u'Gas: Propane', u'Miscellaneous: FINISHED BONUS ROOM', u'PropertyType: New Construction', u'Water: Harnett County', u'Style: Two Story', u'Miscellaneous: GUTTER', u'Misc: GRANITE COUNTERTOP', u'Misc: KITCHEN ISLAND', u'TREY CEILING(S)', u'Contingency Type: Contingent on closing', u'SqFt Range: 1901 TO 2000', u'Electric: DUKE PROGRESS ENERGY', u'Condition: New Construction', u'Dishwasher', u'Microwave', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 2', u'Floor size: 1,971 sqft', u'Parcel #: 110661    0100 09', u'Zillow Home ID: 82173342']	http://photos3.zillowstatic.com/p_e/ISinljhuquortp0000000000.jpg	196900.0	[]	1971.0	NC	195688.0	27546	82173342
2.5	3	Lillington	[u'Lot: 0.48 acres', u'Single Family', u'Built in 2016', u'All time views: 734', u'Heating: Heat pump', u'Last sold: Jul 2016 for $209,900', u'Last sale price/sqft: $102', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Tile', u'Parking: 2 spaces', u'Appliance: RANGE', u'Appliance: D HOOKUPS', u'SMOKE ALARM(S)', u'GARDEN TUB', u'Miscellaneous: SLAB FOUNDATION', u'Sewer: Septic Tank', u'SEPARATE SHOWER', u'Construction Type: Vinyl Siding', u'Misc: MBR DOWNSTAIRS', u'Gas: Propane', u'Miscellaneous: FINISHED BONUS ROOM', u'PropertyType: New Construction', u'Water: Harnett County', u'Style: Two Story', u'Miscellaneous: GUTTER', u'Misc: GRANITE COUNTERTOP', u'Misc: KITCHEN ISLAND', u'TREY CEILING(S)', u'Contingency Type: Contingent on closing', u'SqFt Range: 2001 TO 2200', u'Electric: DUKE PROGRESS ENERGY', u'Condition: New Construction', u'Dishwasher', u'Microwave', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 2', u'Floor size: 2,066 sqft', u'Parcel #: 110661    0100 08', u'Zillow Home ID: 82178352']	http://photos2.zillowstatic.com/p_e/IS2bxrgv38hcvb1000000000.jpg	209900.0	[]	2066.0	NC	198773.0	27546	82178352
2.0	3	Lillington	[u'Lot: 0.5 acres', u'Single Family', u'Built in 2005', u'All time views: 1,187', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $69,900', u'Last sale price/sqft: $46', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: None', u'Patio', u'Porch', u'Appliance: RANGE', u'Gas: None', u'GARDEN TUB', u'PropertyType: Residential', u'Sewer: Septic Tank', u'TypeHeat: C', u'SEPARATE SHOWER', u'Misc: STORM DOOR(S)', u'Misc: MBR DOWNSTAIRS', u'Misc: OTHER BR DOWNSTAIRS', u'Construction Type: Manufactured', u'Miscellaneous: CRAWLSPACE', u'Style: Mobile Home', u'Water: Harnett County', u'Condition: Good', u'Misc: KITCHEN ISLAND', u'SiteDescription: CORNER LOT', u'Zoning: Residential Agricultural', u'Electric: Central Electric Membership', u'SqFt Range: 1501 TO 1600', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,512 sqft', u'Last remodel year: 2005', u'Parcel #: 039597    0183 09', u'Zillow Home ID: 71870950']	http://photos3.zillowstatic.com/p_e/ISqpsoydicej6q1000000000.jpg	69900.0	[]	1512.0	NC	82820.0	27546	71870950
2.0	3	Lillington	[u'Lot: 0.58 acres', u'Single Family', u'Built in 2007', u'All time views: 1,543', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $152,000', u'Last sale price/sqft: $108', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Laminate', u'Lawn', u'Parking: Garage - Attached, 484 sqft garage', u'Porch', u'Security System', u'Vaulted Ceiling', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,401 sqft', u'Last remodel year: 2007', u'Parcel #: 130539    0200 30', u'Zillow Home ID: 83957355']	http://photos2.zillowstatic.com/p_e/ISdg1417k1tqel0000000000.jpg	152000.0	[]	1401.0	NC	152150.0	27546	83957355
