baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	4	Louisburg	[u'Lot: 0.37 acres', u'Single Family', u'Built in 2010', u'11 days on Zillow', u'All time views: 2,965', u'60 shoppers saved this home', u'HOA Fee: $62/mo', u'Heating: Heat pump', u'Last sold: Aug 2016 for $118,650', u'Last sale price/sqft: $66', u'Deck', u'Flooring: Carpet, Tile', u'Parking: Garage - Attached, 441 sqft garage', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,805 sqft', u'Lot depth: 201 ft', u'Lot width: 80 ft', u'Parcel #: 022837', u'Zillow Home ID: 49955116']	http://photos3.zillowstatic.com/p_e/IShbc8tseil2wb0000000000.jpg	118650.0	[]	1805.0	NC	174877.0	27549	49955116
2.0	3	Louisburg	[u'Lot: 0.49 acres', u'Single Family', u'Built in 1996', u'All time views: 5,526', u'HOA Fee: $75/mo', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $124,900', u'Last sale price/sqft: $73', u'Basketball Court', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Gated Entry', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Garage - Attached, 336 sqft garage', u'Pool', u'Security System', u'Skylight', u'Tennis Court', u'Vaulted Ceiling', u'A: Central Air', u'Fuel Heat: Electric Fuel', u'Parking: Gravel', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Roof: Shingle', u'Shower', u'Design: 2 Story', u'Lot Description: Corner Lot', u'Fireplace: 0', u'Flooring: Ceramic', u'Exterior Finish: Cedar', u'Style: Rustic', u'Foundation: Slab', u'HO Fees Include: Clubhouse', u'Subdivision: Lake Royale', u'A: Wall Unit(s)', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Country: USA', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Acres: .26-.5 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Stone, Wood', u'Room count: 5', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,721 sqft', u'Heating: Electric', u'Lot depth: 143 ft', u'Lot width: 150 ft', u'Parcel #: 019054', u'Zillow Home ID: 89693399']	http://photos1.zillowstatic.com/p_e/ISdk49m6xfrj4c0000000000.jpg	124900.0	[]	1721.0	NC	130695.0	27549	89693399
2.0	3	Louisburg	[u'Lot: 1.09 acres', u'Single Family', u'Built in 2007', u'All time views: 756', u'Cooling: Central', u'Heating: Other', u'Last sold: Jun 2016 for $172,500', u'Last sale price/sqft: $133', u'Ceiling Fan', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 528 sqft garage', u'Dishwasher', u'Garbage disposal', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Floor size: 1,300 sqft', u'Laundry: In Unit', u'Parcel #: 034810', u'Zillow Home ID: 72253346']	http://photos3.zillowstatic.com/p_e/IShndt3wz8wgqe0000000000.jpg	172500.0	[]	1300.0	NC	167672.0	27549	72253346
2.0	3	Louisburg	[u'Lot: 0.64 acres', u'Single Family', u'Built in 1990', u'All time views: 2,903', u'HOA Fee: $736/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $117,000', u'Last sale price/sqft: $90', u'Basketball Court', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Gated Entry', u'Parking: Garage - Detached, 1 space, 320 sqft garage', u'Pool', u'Porch', u'Tennis Court', u'A: Central Air', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Parking: Gravel', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Corner Lot', u'Lot Description: Hardwood Trees', u'Lot Description: Partially Cleared', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Style: Ranch', u'Fireplace: 0', u'Equipment: Cooktop ? Electric', u'Water: County Water', u'Exterior Finish: Masonite', u'HO Fees Include: Clubhouse', u'Association Fee Payment: Annually', u'Subdivision: Lake Royale', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Acres: .51-.75 Acres', u'Dishwasher', u'Dryer', u'Microwave', u'Washer', u'Exterior material: Other', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,300 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Lot depth: 183 ft', u'Lot width: 153 ft', u'Parcel #: 022075', u'Zillow Home ID: 62672453']	http://photos2.zillowstatic.com/p_e/IS1nyo8olsmyxa1000000000.jpg	117000.0	[]	1300.0	NC	117714.0	27549	62672453
2.0	3	Louisburg	[u'Lot: 0.86 acres', u'Single Family', u'Built in 1991', u'All time views: 3,612', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $133,500', u'Last sale price/sqft: $128', u'Ceiling Fan', u'Deck', u'Fireplace', u'Parking: 528 sqft garage', u'Pool', u'Porch', u'Dishwasher', u'Washer', u'Exterior material: Stone', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,041 sqft', u'Laundry: In Unit', u'Parcel #: 026209', u'Zillow Home ID: 49962090']	http://photos3.zillowstatic.com/p_e/ISxfy0zj6fwv1l0000000000.jpg	133500.0	[]	1041.0	NC	118644.0	27549	49962090
3.0	3	Louisburg	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1999', u'All time views: 1,037', u'Heating: Forced air', u'Last sold: May 2016 for $417,000', u'Last sale price/sqft: $184', u'Cable Ready', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Dock', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Carport, 2 spaces', u'Pool', u'Porch', u'Tennis Court', u'View: Water', u'Waterfront', u'A: Central Air', u'Equipment: Ice Maker Connection', u'Tub', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Design: 2 Story', u'Utility Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Garage Floor: Lower', u'Other Rooms: Utility Room', u'Lvng Area: Main', u'Equipment: Garage Opener', u'Garden Tub', u'Equipment: Self Clean Oven', u'Parking: Concrete', u'Other Rooms: Den', u'Water: County Water', u'HO Fees Include: Clubhouse', u'Foundation: Basement', u'Other Rooms: Sun Room', u'Fee', u'Association Fee Payment: Annually', u'Lot Description: Private Rd Main. Agree', u'Community Rec Avail.', u'Other Area: Lower', u'Other Area: Lower', u'Subdivision: Lake Royale', u'Family Room Floor: Lower', u'Bedroom 3 Floor: Lower', u'Washer Dryer Location: Laundry Room', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: .51-.75 Acres', u'Pantry', u'DSL Available', u'Waterfrnt Characteristics: Boat House', u'Water Body Name: Lake Royale', u'Waterfrnt Characteristics: Boat Slip', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,263 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Lot depth: 231 ft', u'Lot width: 75 ft', u'Parcel #: 024112', u'Zillow Home ID: 58354363']	http://photos2.zillowstatic.com/p_e/IStknwyvc3ctid0000000000.jpg	417000.0	[]	2263.0	NC	407570.0	27549	58354363
2.0	3	Louisburg	[u'Lot: 0.34 acres', u'Single Family', u'Built in 1996', u'All time views: 1,203', u'HOA Fee: $63/mo', u'Last sold: May 2016 for $117,000', u'Last sale price/sqft: $102', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Gated Entry', u'Parking: Off street', u'Tennis Court', u'Vaulted Ceiling', u'Age: 11-20 Years Old', u'Lot Size: 2 Acre', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Family room', u'Exterior material: Cement concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,149 sqft', u'Parcel #: 27611 300', u'Zillow Home ID: 49954856']	http://photos2.zillowstatic.com/p_e/IS1jvjbfdk3zpv0000000000.jpg	117000.0	[]	1149.0	NC	116102.0	27549	49954856
4.0	4	Louisburg	[u'Baths: 3 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 2007', u'All time views: 1,132', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: May 2016 for $325,000', u'Last sale price/sqft: $96', u'Attic', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 528 sqft garage', u'Patio', u'Security System', u'Storage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Pantry', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Other', u'Room count: 10', u'Stories: 1', u'Structure type: Craftsman', u'Floor size: 3,401 sqft', u'Heating: Electric', u'Parcel #: 036808', u'Zillow Home ID: 80470671']	http://photos2.zillowstatic.com/p_e/ISd8js9po83tsn1000000000.jpg	325000.0	[]	3401.0	NC	358097.0	27549	80470671
2.0	3	Louisburg	[u'Lot: 1 acre', u'Single Family', u'Built in 1982', u'All time views: 868', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $125,000', u'Last sale price/sqft: $95', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Garage - Attached, 448 sqft garage', u'Porch', u'Living room', u'Washer', u'Dining room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Other', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,322 sqft', u'Last remodel year: 1985', u'Laundry: In Unit', u'Parcel #: 004094', u'Zillow Home ID: 49950980']	http://photos2.zillowstatic.com/p_e/IStshtifpylp9f0000000000.jpg	125000.0	[]	1322.0	NC	129855.0	27549	49950980
2.0	2	Louisburg	[u'Lot: 4.57 acres', u'Single Family', u'Built in 1975', u'All time views: 1,431', u'Heating: Forced air', u'Last sold: May 2016 for $155,900', u'Last sale price/sqft: $119', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Patio', u'Porch', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Equipment: Ice Maker Connection', u'Gutters', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Parking: Gravel', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Water: Well', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Shower', u'Design: 1.5 Story', u'Kitchen Floor: Main', u'Storage Shed', u'Lot Description: Open', u'Bedroom 2 Floor: Second', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Hardwood Trees', u'Lot Description: Wooded Lot', u'Other Rooms: Utility Room', u'Other Area: Main', u'Bonus Room Floor: Second', u'Dining: Eat-in Kitchen', u'Lvng Area: Main', u'Fenced Yard', u'Subdivision: Not in a Subdivision', u'Insulated Windows', u'Out Building', u'Horses Allowed', u'Other Rooms: Finish', u'Foundation: Brick Foundation', u'Style: Transitional', u'Lot Description: Secluded', u'Lot Description: Pasture', u'Detached Workshop', u'Attic Description: Walk In', u'Lot Description: Garden Area', u'Other Rooms: Loft Rm', u'Equipment: D Stack Unit', u'Farm', u'Washer Dryer Location: Laundry Room', u'9 Ft Ceiling', u'Granite Counter Tops', u'Smoke Alarm', u'Acres: 3-5.9 Acres', u'10Ft+ Ceiling', u'Pantry', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Metal', u'Room count: 4', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,311 sqft', u'Last remodel year: 1995', u'Laundry: In Unit', u'Parcel #: 012906', u'Zillow Home ID: 49962505']	http://photos2.zillowstatic.com/p_e/ISdsqfkxxmamzb0000000000.jpg	155900.0	[]	1311.0	NC	139444.0	27549	49962505
