baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Maiden	[u'Lot: 0.47 acres', u'Single Family', u'Built in 2010', u'All time views: 2,989', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $166,500', u'Last sale price/sqft: $108', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Garden', u'Greenhouse', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Porch', u'Security System', u'Vaulted Ceiling', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,540 sqft', u'Heating: Electric', u'Lot depth: 161 ft', u'Lot width: 113 ft', u'Parcel #: 3646064929810000', u'Zillow Home ID: 98208254']	http://photos3.zillowstatic.com/p_e/ISx7glszzqlo6m1000000000.jpg	166500.0	[]	1540.0	NC	164487.0	28650	98208254
1.0	2	Maiden	[u'Lot: 0.31 acres', u'Single Family', u'Built in 1950', u'All time views: 833', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $78,000', u'Last sale price/sqft: $75', u'Attic', u'Fenced Yard', u'Fireplace', u'Flooring: Linoleum / Vinyl, Tile', u'Patio', u'Porch', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Sewer: City Sewer', u'Water: City Water', u'Laundry Location: 1st Floor', u'Doors Windows: Storm Door(s)', u'Attic Stairs Pulldown', u'Doors Windows: Insulated Windows', u'Property Sub Type: 1 Story', u'Driveway: Concrete', u'Architectural Style: Traditional', u'Fenced Yard', u'Listing Financing: USDA', u'Doors Windows: Screen Door(s)', u'Recreation Area', u'Parking: Parking Space - 2', u'Parking: Driveway', u'Flooring: Tile', u'Construction Type: Site Built', u'Listing Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Co List Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Co List Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent MLS Board: Catawba Valley Association of Realtors', u'Selling Agent Primary Board: Catawba Valley Association of Realtors', u'Microwave', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 4', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,038 sqft', u'Heating: None', u'Lot depth: 199 ft', u'Lot width: 65 ft', u'Parcel #: 3647183260500000', u'Zillow Home ID: 71557163']	http://photos2.zillowstatic.com/p_e/IShz21oga5khvc1000000000.jpg	78000.0	[]	1038.0	NC	77131.0	28650	71557163
2.0	3	Maiden	[u'Lot: 0.46 acres', u'Single Family', u'Built in 2004', u'All time views: 371', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2016 for $170,500', u'Last sale price/sqft: $107', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,592 sqft', u'Last remodel year: 2004', u'Parcel #: 78744', u'Zillow Home ID: 83968193']	http://photos1.zillowstatic.com/p_e/ISme58oqvusbxd1000000000.jpg	170500.0	[]	1592.0	NC	156663.0	28650	83968193
2.0	3	Maiden	[u'Lot: 0.86 acres', u'Single Family', u'Built in 2016', u'All time views: 3,595', u'Last sold: Jul 2016 for $150,000', u'Last sale price/sqft: $125', u'Floor size: 1,202 sqft', u'Parcel #: 3666048447840000', u'Zillow Home ID: 98212431']	http://photos2.zillowstatic.com/p_e/IShbgfhnt70vl90000000000.jpg	150000.0	[]	1202.0	NC	98260.0	28650	98212431
1.0	2	Maiden	[u'Lot: 5.48 acres', u'Single Family', u'Built in 1945', u'All time views: 255', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2016 for $77,500', u'Last sale price/sqft: $86', u'Fireplace', u'Porch', u'Heating: Unknown', u'Water: Septic Tank', u'County: Lincoln', u'Style: Ranch', u'Water: Well', u'None', u'Water-Lake: Stream', u'Type: Stick Built', u'Exterior material: Wood', u'Room count: 5', u'Stories: 0', u'Unit count: 1', u'Floor size: 896 sqft', u'Last remodel year: 1945', u'Parcel #: 25693', u'Zillow Home ID: 6114783']	http://photos1.zillowstatic.com/p_e/ISludtmj9s6u0r0000000000.jpg	77500.0	[]	896.0	NC	91025.0	28650	6114783
3.5	3	Maiden	[u'Baths: 3 full, 1 half', u'Lot: 7.95 acres', u'Single Family', u'Built in 1991', u'All time views: 1,275', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2016 for $355,000', u'Last sale price/sqft: $85', u'Cable Ready', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Other', u'Parking: 3 spaces', u'Patio', u'Porch', u'Wet Bar', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: Conventional', u'Driveway: Asphalt', u'Equipment: Disposal', u'Equipment: Ice Maker Connection', u'Equipment: Self Cleaning Oven', u'Laundry Location: 1st Floor', u'Property Sub Type: 2 Story', u'Doors Windows: Insulated Windows', u'Architectural Style: Traditional', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Water: Well', u'Zoning: Residential', u'GardenTub', u'Equipment: Cooktop Gas', u'Equipment: Oven', u'Equipment: Double Oven', u'Walking Trails', u'Building - Barn', u'Parking: Parking Space - 3+', u'Parking: Driveway', u'Equipment: Propane', u'Flooring: Tile', u'Listing Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Dishwasher', u'Microwave', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Laundry room', u'Office', u'Pantry', u'Exterior material: Other, Vinyl', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 4,200 sqft', u'Heating: Gas', u'Parcel #: 3687011918210000', u'Zillow Home ID: 71555940']	http://photos2.zillowstatic.com/p_e/ISyjtr7uhsqi4k0000000000.jpg	355000.0	[]	4200.0	NC	385498.0	28650	71555940
2.0	3	Maiden	[u'Lot: 1.11 acres', u'Single Family', u'Built in 1987', u'All time views: 2,276', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $190,000', u'Last sale price/sqft: $75', u'150 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Garage - Attached, 624 sqft garage', u'Partial basement', u'Patio', u'Laundry on Main', u'Water-Lake: None', u'Water: Septic Tank', u'County: Catawba', u'Water: Well', u'Exterior Siding: Hardboard', u'Other Room 1: Computer', u'Style: Bsmt', u'Walk-Up Attic', u'Outside Lighting', u'Molding', u'Other Room 2: Other', u'Chair Rail', u'Type: Stick Built', u'Dishwasher', u'Refrigerator', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,520 sqft', u'Heating: Electric', u'Lot depth: 220 ft', u'Lot width: 96 ft', u'Zillow Home ID: 71951577']	http://photos3.zillowstatic.com/p_e/ISts5gwz7oc2cb0000000000.jpg	190000.0	[]	2520.0	NC	221087.0	28650	71951577
2.0	3	Maiden	[u'Lot: 2.3 acres', u'Single Family', u'Built in 2009', u'122 days on Zillow', u'Views since listing: 3,876', u'All time views: 3,938', u'41 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump, Stove', u'Last sold: Jun 2016 for $295,000', u'Last sale price/sqft: $174', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, Garage - Detached, 624 sqft garage', u'Patio', u'Pool', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,700 sqft', u'Heating: Electric, Gas', u'Laundry: In Unit', u'Zillow Home ID: 71910672']	http://photos3.zillowstatic.com/p_e/IShvvw4055vaf60000000000.jpg	295000.0	[]	1700.0	NC	221349.0	28650	71910672
2.0	3	Maiden	[u'Lot: 0.46 acres', u'Single Family', u'Built in 2001', u'All time views: 2,270', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $168,000', u'Last sale price/sqft: $110', u'Flooring: Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 0', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,527 sqft', u'Last remodel year: 2001', u'Laundry: In Unit', u'Parcel #: 78684', u'Zillow Home ID: 60144587']	http://photos3.zillowstatic.com/p_e/ISxjpg84sryjuu0000000000.jpg	168000.0	[]	1527.0	NC	158896.0	28650	60144587
2.0	3	Maiden	[u'Lot: 0.53 acres', u'Single Family', u'Built in 2009', u'All time views: 4,242', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $145,000', u'Last sale price/sqft: $116', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces, 520 sqft garage', u'Foundation Details: Crawl Space', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Listing Financing: FMHA', u'Equipment: Oven', u'Corner Lot', u'Laundry Location: Closet', u'Laundry Location: 1st Floor', u'Property Sub Type: 1 Story', u'Driveway: Concrete', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Water: Well', u'Listing Financing: NC Bond', u'Architectural Style: Ranch', u'Parking: Garage - 2 Car', u'Parking: Side Load Garage', u'Construction Type: Site Built', u'Selling Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent MLS Board: Lincoln County Board of Realtors', u'Listing Agent Primary Board: Lincoln County Board of Realtors', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,255 sqft', u'Lot depth: 200 ft', u'Lot width: 115 ft', u'Parcel #: 3627034228570000', u'Zillow Home ID: 102124380']	http://photos1.zillowstatic.com/p_e/IS9p1b4zjqwt8p1000000000.jpg	145000.0	[]	1255.0	NC	143886.0	28650	102124380
