baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Margarettsville	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1952', u'All time views: 2,511', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2014 for $144,000', u'Last sale price/sqft: $57', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1', u'Floor size: 2,547 sqft', u'Heating: Other', u'Parcel #: 09-01518', u'Zillow Home ID: 114839351']	http://photos1.zillowstatic.com/p_e/ISxnk3ic33oaeo0000000000.jpg	144000.0	[]	2547.0	NC	144292.0	27853	114839351
2.0	3	Margarettsville	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1952', u'All time views: 2,513', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2014 for $144,000', u'Last sale price/sqft: $57', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1', u'Floor size: 2,547 sqft', u'Heating: Other', u'Parcel #: 09-01518', u'Zillow Home ID: 114839351']	http://photos1.zillowstatic.com/p_e/ISxnk3ic33oaeo0000000000.jpg	144000.0	[]	2547.0	NC	144292.0	27853	114839351
2.0	3	Margarettsville	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1952', u'All time views: 2,507', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2014 for $144,000', u'Last sale price/sqft: $57', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1', u'Floor size: 2,547 sqft', u'Heating: Other', u'Parcel #: 09-01518', u'Zillow Home ID: 114839351']	http://photos1.zillowstatic.com/p_e/ISxnk3ic33oaeo0000000000.jpg	144000.0	[]	2547.0	NC	144292.0	27853	114839351
2.0	3	Margarettsville	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1952', u'All time views: 2,512', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2014 for $144,000', u'Last sale price/sqft: $57', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1', u'Floor size: 2,547 sqft', u'Heating: Other', u'Parcel #: 09-01518', u'Zillow Home ID: 114839351']	http://photos1.zillowstatic.com/p_e/ISxnk3ic33oaeo0000000000.jpg	144000.0	[]	2547.0	NC	144292.0	27853	114839351
2.0	3	Margarettsville	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1952', u'All time views: 2,499', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2014 for $144,000', u'Last sale price/sqft: $57', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1', u'Floor size: 2,547 sqft', u'Heating: Other', u'Parcel #: 09-01518', u'Zillow Home ID: 114839351']	http://photos1.zillowstatic.com/p_e/ISxnk3ic33oaeo0000000000.jpg	144000.0	[]	2547.0	NC	144292.0	27853	114839351
2.0	3	Margarettsville	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1952', u'All time views: 2,494', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2014 for $144,000', u'Last sale price/sqft: $57', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1', u'Floor size: 2,547 sqft', u'Heating: Other', u'Parcel #: 09-01518', u'Zillow Home ID: 114839351']	http://photos1.zillowstatic.com/p_e/ISxnk3ic33oaeo0000000000.jpg	144000.0	[]	2547.0	NC	144292.0	27853	114839351
2.0	3	Margarettsville	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1952', u'All time views: 2,510', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2014 for $144,000', u'Last sale price/sqft: $57', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1', u'Floor size: 2,547 sqft', u'Heating: Other', u'Parcel #: 09-01518', u'Zillow Home ID: 114839351']	http://photos1.zillowstatic.com/p_e/ISxnk3ic33oaeo0000000000.jpg	144000.0	[]	2547.0	NC	144292.0	27853	114839351
2.0	3	Margarettsville	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1952', u'All time views: 2,503', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2014 for $144,000', u'Last sale price/sqft: $57', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1', u'Floor size: 2,547 sqft', u'Heating: Other', u'Parcel #: 09-01518', u'Zillow Home ID: 114839351']	http://photos1.zillowstatic.com/p_e/ISxnk3ic33oaeo0000000000.jpg	144000.0	[]	2547.0	NC	144292.0	27853	114839351
2.0	3	Margarettsville	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1952', u'All time views: 2,500', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2014 for $144,000', u'Last sale price/sqft: $57', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1', u'Floor size: 2,547 sqft', u'Heating: Other', u'Parcel #: 09-01518', u'Zillow Home ID: 114839351']	http://photos1.zillowstatic.com/p_e/ISxnk3ic33oaeo0000000000.jpg	144000.0	[]	2547.0	NC	144292.0	27853	114839351
2.0	3	Margarettsville	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1952', u'All time views: 2,504', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2014 for $144,000', u'Last sale price/sqft: $57', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1', u'Floor size: 2,547 sqft', u'Heating: Other', u'Parcel #: 09-01518', u'Zillow Home ID: 114839351']	http://photos1.zillowstatic.com/p_e/ISxnk3ic33oaeo0000000000.jpg	144000.0	[]	2547.0	NC	144292.0	27853	114839351
