baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Mc Leansville	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1996', u'All time views: 2,030', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $185,000', u'Last sale price/sqft: $88', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached, 840 sqft garage', u'Appliances: Exhaust Fan', u'Association: Greensboro', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dryer Connection', u'Garage Door Opener(s)', u'Attic Description: Pulldown Stairs', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Style: Ranch', u'Elementary School: Monticello-Brown Summit', u'Property Sub Type: Site Built', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,095 sqft', u'Heating: Electric', u'Last remodel year: 1996', u'Lot depth: 273 ft', u'Lot width: 150 ft', u'Parcel #: 0112081', u'Zillow Home ID: 5976298']	http://photos2.zillowstatic.com/p_e/IS1nyc772py7ge1000000000.jpg	185000.0	[]	2095.0	NC	186386.0	27301	5976298
2.5	4	Mc Leansville	[u'Baths: 2 full, 1 half', u'Lot: 4,791 sqft', u'Single Family', u'Built in 2005', u'All time views: 1,512', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $142,000', u'Last sale price/sqft: $76', u'Great solar potentialSun Number\u2122:\xa075', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 220 sqft garage', u'Patio', u'Porch', u'Association: Greensboro', u'Built Information: Existing', u'Status: Pending', u'Style: Traditional', u'Water: Public', u'Built-in Shelves', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Attic Description: Pulldown Stairs', u'Pantry', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Foundation Basement: Slab', u'Lot Description: Level', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Kitchen Island', u'Appliances: Disposal', u'Smoke Alarm', u'Privacy Fence', u'Sewer: Public', u'Fenced', u'Lot Description: Fence(s)', u'CO Detector', u'Elementary School: McLeansville Elementary', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,876 sqft', u'Heating: Gas', u'Last remodel year: 2005', u'Lot depth: 120 ft', u'Lot width: 42 ft', u'Parcel #: 0085464', u'Zillow Home ID: 71004745']	http://photos2.zillowstatic.com/p_e/ISppgvvuumiebp0000000000.jpg	142000.0	[]	1876.0	NC	145101.0	27301	71004745
2.0	3	Mc Leansville	[u'Lot: 0.52 acres', u'Single Family', u'Built in 1961', u'15 days on Zillow', u'All time views: 3,789', u'28 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $60,000', u'Last sale price/sqft: $44', u'Candidate for a community solar programSun Number\u2122:\xa037', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Garden', u'Parking: Carport, Garage - Attached', u'Porch', u'Association: Greensboro', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Dead Bolt(s)', u'Dryer Connection', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Water: Well', u'Water Heater: Electric', u'Story Number: 1', u'Style: Ranch', u'Fenced', u'Typeof Sale: Bank', u'Elementary School: McLeansville Elementary', u'Status: Pending AB', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,365 sqft', u'Heating: Gas, Propane butane', u'Last remodel year: 1976', u'Lot depth: 200 ft', u'Lot width: 114 ft', u'Parcel #: 0119373', u'Zillow Home ID: 5981101']	http://photos1.zillowstatic.com/p_e/ISyfy0rptedow41000000000.jpg	60000.0	[]	1365.0	NC	102013.0	27301	5981101
2.5	3	Mc Leansville	[u'Baths: 2 full, 1 half', u'Lot: 1,306 sqft', u'Single Family', u'Built in 2006', u'All time views: 1,617', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $92,000', u'Last sale price/sqft: $60', u'Great solar potentialSun Number\u2122:\xa076', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Association: Greensboro', u'Built Information: Existing', u'Status: Pending', u'Water: Public', u'List Type: Exclusive Right to Sell', u'Foundation Basement: Slab', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Sewer: Public', u'Lot Description: Cul De Sac', u'Elementary School: Sedalia', u'Heating: Dual System', u'Dishwasher', u'Range / Oven', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,534 sqft', u'Heating: Electric, Gas', u'Last remodel year: 2006', u'Lot depth: 71 ft', u'Lot width: 20 ft', u'Parcel #: 0085537', u'Zillow Home ID: 71210394']	http://photos3.zillowstatic.com/p_e/IS917rdhldhzzl1000000000.jpg	92000.0	[]	1534.0	NC	99160.0	27301	71210394
3.0	4	Mc Leansville	[u'Lot: 6,098 sqft', u'Single Family', u'Built in 2013', u'All time views: 5,784', u'HOA Fee: $45/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $180,000', u'Last sale price/sqft: $82', u'Fenced Yard', u'Parking: Garage - Attached, 2 spaces, 420 sqft garage', u'Patio', u'Exterior material: Stone, Vinyl', u'Roof type: Shake Shingle', u'Stories: 2', u'Floor size: 2,184 sqft', u'Heating: Gas', u'Last remodel year: 2013', u'Parcel #: 0220037', u'Zillow Home ID: 120801802']	http://photos2.zillowstatic.com/p_e/IS1nu9a89apnrv1000000000.jpg	180000.0	[]	2184.0	NC	153402.0	27301	120801802
2.0	3	Mc Leansville	[u'Baths: 1 full, 1 half', u'Lot: 0.54 acres', u'Single Family', u'Built in 1987', u'All time views: 420', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $115,000', u'Last sale price/sqft: $109', u'Candidate for a community solar programSun Number\u2122:\xa027', u'Cable Ready', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: Carport, 2 spaces', u'Patio', u'Porch', u'Security System', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,056 sqft', u'Last remodel year: 1992', u'Laundry: In Unit', u'Lot depth: 183 ft', u'Lot width: 115 ft', u'Parcel #: 0119536', u'Zillow Home ID: 5981258']	http://photos1.zillowstatic.com/p_e/ISxrj9tt2fpmmm0000000000.jpg	115000.0	[]	1056.0	NC	120047.0	27301	5981258
1.0	3	Mc Leansville	[u'Lot: 2.54 acres', u'Single Family', u'Built in 1958', u'All time views: 2,156', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $80,000', u'Last sale price/sqft: $86', u'Candidate for a community solar programSun Number\u2122:\xa027', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Attic Description: Access Only', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dead Bolt(s)', u'Dryer Connection', u'Insulated Windows', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Style: Cottage', u'Association: Asheboro Randolph', u'Property Sub Type: Site Built', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 935 sqft', u'Heating: Electric', u'Last remodel year: 1985', u'Parcel #: 0115363', u'Zillow Home ID: 5978596']	http://photos3.zillowstatic.com/p_e/IS5qvzepy01vzm1000000000.jpg	80000.0	[]	935.0	NC	77963.0	27301	5978596
2.0	3	Mc Leansville	[u'Lot: 1.65 acres', u'Single Family', u'Built in 1938', u'All time views: 3,795', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $179,900', u'Last sale price/sqft: $73', u'Great solar potentialSun Number\u2122:\xa070', u'Barbecue', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Lawn', u'Patio', u'Porch', u'Private road', u'Acreage', u'Rural', u'Updated', u'New Kitchen', u'New Baths', u'Charming', u'Vintage', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,474 sqft', u'Heating: Electric, Gas', u'Last remodel year: 1970', u'Parcel #: 0113274', u'Zillow Home ID: 5977044']	http://photos1.zillowstatic.com/p_e/IS9d80j4xji9wk1000000000.jpg	179900.0	[]	2474.0	NC	183833.0	27301	5977044
2.0	3	Mc Leansville	[u'Lot: 0.69 acres', u'Single Family', u'Built in 1991', u'All time views: 788', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $144,000', u'Last sale price/sqft: $109', u'Candidate for a community solar programSun Number\u2122:\xa027', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood', u'Parking: Carport, Garage - Attached', u'Porch', u'Security System', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dead Bolt(s)', u'Dryer Connection', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Fenced', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,326 sqft', u'Heating: Electric', u'Last remodel year: 1991', u'Lot depth: 269 ft', u'Lot width: 115 ft', u'Parcel #: 0113351', u'Zillow Home ID: 5977111']	http://photos2.zillowstatic.com/p_e/ISphec1uhfs1dt1000000000.jpg	144000.0	[]	1326.0	NC	142094.0	27301	5977111
2.0	4	Mc Leansville	[u'Lot: 0.68 acres', u'Single Family', u'Built in 2007', u'All time views: 2,535', u'HOA Fee: $10/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $91,000', u'Last sale price/sqft: $54', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Flooring: Hardwood', u'Jetted Tub', u'Lawn', u'Patio', u'Porch', u'Storage', u'Living room', u'Dishwasher', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Master bath', u'Walk-in closet', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,700 sqft', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 0111959', u'Zillow Home ID: 55371343']	http://photos2.zillowstatic.com/p_e/IStoy763m95e2x1000000000.jpg	91000.0	[]	1700.0	NC	101352.0	27301	55371343
