baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Merry Hill	[u'Baths: 2 full, 1 half', u'Lot: 3.26 acres', u'Single Family', u'Built in 1997', u'All time views: 1,988', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $239,000', u'Last sale price/sqft: $109', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Detached', u'Porch', u'Security System', u'Skylight', u'Vaulted Ceiling', u'View: Territorial', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Workshop', u'Exterior material: Cement concrete, Wood', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,200 sqft', u'Heating: Propane butane', u'Parcel #: 6864-77-3165', u'Zillow Home ID: 106948483']	http://photos3.zillowstatic.com/p_e/IStsti6smk6u7z0000000000.jpg	239000.0	[]	2200.0	NC	144573.0	27957	106948483
1.0	3	Merry Hill	[u'Single Family', u'Built in 1952', u'All time views: 1,722', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Nov 2014 for $94,400', u'Last sale price/sqft: $74', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Stories: 1', u'Floor size: 1,280 sqft', u'Zillow Home ID: 2108288976']	http://photos2.zillowstatic.com/p_e/IShb0vqcekwmhd1000000000.jpg	94400.0	[]	1280.0	NC	72227.0	27957	2108288976
2.0	4	Merry Hill	[u'Lot: 3.64 acres', u'Single Family', u'Built in 1928', u'All time views: 3,569', u'Cooling: Central', u'Heating: Baseboard, Other', u'Last sold: Feb 2014 for $118,000', u'Last sale price/sqft: $70', u'Parking: Garage - Detached, 1 space', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Roof type: Metal', u'Room count: 11', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,693 sqft', u'Heating: Electric, Gas, Propane butane', u'Zillow Home ID: 2111074867']	http://photos1.zillowstatic.com/p_e/IS1bppx8t493k01000000000.jpg	118000.0	[]	1693.0	NC	83882.0	27957	2111074867
1.0	5	Merry Hill	[u'Lot: 1 acre', u'Single Family', u'Built in 1952', u'All time views: 936', u'Heating: Heat pump', u'Last sold: Nov 2013 for $89,000', u'Last sale price/sqft: $42', u'Fireplace', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,114 sqft', u'Parcel #: 6854-36-9203', u'Zillow Home ID: 106947866']	http://photos3.zillowstatic.com/p_e/ISxncd8x9bm22x0000000000.jpg	89000.0	[]	2114.0	NC	99818.0	27957	106947866
2.5	4	Merry Hill	[u'Single Family', u'Built in 1976', u'All time views: 1,313', u'Heating: Heat pump', u'Last sold: Oct 2013 for $237,500', u'Last sale price/sqft: $88', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 2', u'Floor size: 2,704 sqft', u'Parcel #: 6874-72-2159', u'Zillow Home ID: 106949009']	http://photos2.zillowstatic.com/p_e/IS52tdp4uw7owg0000000000.jpg	237500.0	[]	2704.0	NC	363211.0	27957	106949009
3.0	4	Merry Hill	[u'Baths: 2 full, 1 half', u'Lot: 3.26 acres', u'Single Family', u'Built in 1997', u'All time views: 1,990', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $239,000', u'Last sale price/sqft: $109', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Detached', u'Porch', u'Security System', u'Skylight', u'Vaulted Ceiling', u'View: Territorial', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Workshop', u'Exterior material: Cement concrete, Wood', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,200 sqft', u'Heating: Propane butane', u'Parcel #: 6864-77-3165', u'Zillow Home ID: 106948483']	http://photos3.zillowstatic.com/p_e/IStsti6smk6u7z0000000000.jpg	239000.0	[]	2200.0	NC	144573.0	27957	106948483
1.0	3	Merry Hill	[u'Single Family', u'Built in 1952', u'All time views: 1,724', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Nov 2014 for $94,400', u'Last sale price/sqft: $74', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Stories: 1', u'Floor size: 1,280 sqft', u'Zillow Home ID: 2108288976']	http://photos2.zillowstatic.com/p_e/IShb0vqcekwmhd1000000000.jpg	94400.0	[]	1280.0	NC	72227.0	27957	2108288976
2.0	4	Merry Hill	[u'Lot: 3.64 acres', u'Single Family', u'Built in 1928', u'All time views: 3,575', u'Cooling: Central', u'Heating: Baseboard, Other', u'Last sold: Feb 2014 for $118,000', u'Last sale price/sqft: $70', u'Parking: Garage - Detached, 1 space', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Roof type: Metal', u'Room count: 11', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,693 sqft', u'Heating: Electric, Gas, Propane butane', u'Zillow Home ID: 2111074867']	http://photos1.zillowstatic.com/p_e/IS1bppx8t493k01000000000.jpg	118000.0	[]	1693.0	NC	83882.0	27957	2111074867
1.0	5	Merry Hill	[u'Lot: 1 acre', u'Single Family', u'Built in 1952', u'All time views: 938', u'Heating: Heat pump', u'Last sold: Nov 2013 for $89,000', u'Last sale price/sqft: $42', u'Fireplace', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,114 sqft', u'Parcel #: 6854-36-9203', u'Zillow Home ID: 106947866']	http://photos3.zillowstatic.com/p_e/ISxncd8x9bm22x0000000000.jpg	89000.0	[]	2114.0	NC	99818.0	27957	106947866
2.5	4	Merry Hill	[u'Single Family', u'Built in 1976', u'All time views: 1,316', u'Heating: Heat pump', u'Last sold: Oct 2013 for $237,500', u'Last sale price/sqft: $88', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 2', u'Floor size: 2,704 sqft', u'Parcel #: 6874-72-2159', u'Zillow Home ID: 106949009']	http://photos2.zillowstatic.com/p_e/IS52tdp4uw7owg0000000000.jpg	237500.0	[]	2704.0	NC	363211.0	27957	106949009
