baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Ocean Isle Beach	[u'Baths: 2 full, 1 half', u'Single Family', u'Built in 2015', u'All time views: 6,721', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $332,500', u'Last sale price/sqft: $151', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Sprinkler System', u'Wired', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Wood products', u'Roof type: Composition', u'Stories: 2', u'Structure type: Craftsman', u'Floor size: 2,199 sqft', u'Heating: Electric', u'Zillow Home ID: 2099042440']	http://photos1.zillowstatic.com/p_e/ISdwphwkva5fss1000000000.jpg	332500.0	[]	2199.0	NC	263053.0	28469	2099042440
3.0	3	Ocean Isle Beach	[u'Lot: 9,147 sqft', u'Single Family', u'Built in 2008', u'141 days on Zillow', u'Views since listing: 1,886', u'All time views: 1,906', u'18 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $287,500', u'Last sale price/sqft: $121', u'MLS #: 100008191', u'Ceiling Fan', u'Deck', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Hot Tub/Spa', u'Patio', u'Porch', u'Sprinkler System', u'View: Water', u'1st Floor Master', u'Construction Type: Stick Built', u'Appliances: Disposal', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Foundation: Slab', u'Water Heater: Electric', u'Fencing: None', u'Water: Municipal Water', u'Fuel Tank: Propane Above Ground', u'Lot Description: Cul-de-Sac Lot', u'Parking: Paved', u'Road Type: Maintained', u'Road Type: St)', u'Roof: Shingle', u'Water: Municipal Sewer', u'HOA: Yes', u'Road Type: Paved', u'HOA Amenities: Maint - Comm Areas', u'HOA Amenities: Maint - Grounds', u'HOA Amenities: Mgmt Fee', u'HOA Amenities: Pool - Outdoor', u'Amenities-Neigh: Pool', u'Attic: None', u'Shades', u'None', u'Dry Connect', u'Amenities-Neigh: Sidewalk', u'Gas Logs', u'Energy Star Appl', u'HOA Amenities: Master Insure', u'HOA Amenities: Tax Comm Areas', u'HOA Amenities: Clubhouse', u'Amenities-Neigh: Clubhouse', u'Service Providers: Electric Provider: Brunswick Electric', u'Service Providers: Water Provider: Public Water', u'HOA Amenities: Street Lights', u'HOA Amenities: Trails', u'Laundry Location: Hall', u'HOA Amenities: Sidewalk', u'Accessibility: None', u'List Office Board Code: Brunswick County Association of Realtors', u'Walk-In Closet', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,380 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 242FA028', u'Zillow Home ID: 84169346']	http://photos2.zillowstatic.com/p_e/IShrcnd8p6fur61000000000.jpg	287500.0	[]	2380.0	NC	289990.0	28469	84169346
2.0	3	Ocean Isle Beach	[u'Lot: 7,840 sqft', u'Single Family', u'Built in 1977', u'All time views: 1,509', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $480,000', u'Last sale price/sqft: $244', u'View: Water', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Fencing: None', u'Parking: Paved', u'Roof: Shingle', u'Foundation: Pilings', u'Road Type: Paved', u'Shades', u'Fuel Tank: None', u'Flood Zone: Yes', u'Dry Connect', u'Security Lighting', u'Fireplace: None', u'List Office Board Code: Brunswick County Association of Realtors', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,967 sqft', u'Parcel #: 244PT054', u'Zillow Home ID: 78250195']	http://photos2.zillowstatic.com/p_e/IStwcc1k0rshaa0000000000.jpg	480000.0	[]	1967.0	NC	455762.0	28469	78250195
2.0	3	Ocean Isle Beach	[u'Lot: 0.82 acres', u'Single Family', u'Built in 1979', u'All time views: 7,806', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $198,000', u'Last sale price/sqft: $110', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached', u'View: Water', u'1st Floor Master', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Foundation: Crawl Space', u'Roof: Shingle', u'Road Type: Paved', u'Water: Septic On Site', u'Attic: None', u'Fuel Tank: None', u'Smoke Detectors', u'Dry Connect', u'Fireplace: None', u'Parking: Off Street', u'Service Providers: Water Provider: County', u'Pool: None', u'Service Providers: Electric Provider: Brunswick Electric', u'Water: Community Water', u'None', u'Amenities-Neigh: None', u'Porch: None', u'Laundry Location: Closet', u'List Office Board Code: Brunswick County Association of Realtors', u'Dishwasher', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,801 sqft', u'Laundry: In Unit', u'Parcel #: 243OA012', u'Zillow Home ID: 78246672']	http://photos2.zillowstatic.com/p_e/IShfb2354wg0i40000000000.jpg	198000.0	[]	1801.0	NC	215004.0	28469	78246672
3.5	3	Ocean Isle Beach	[u'Single Family', u'Built in 1990', u'All time views: 3,335', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $320,000', u'Last sale price/sqft: $104', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Flooring: Hardwood', u'Parking: Garage - Detached', u'Patio', u'Construction Type: Stick Built', u'Amenities-Neigh: Golf Course', u'Appliances: Disposal', u'Basement: None', u'Construction: Wood Frame', u'Storm Doors', u'Water Heater: Electric', u'Foundation: Crawl Space', u'Parking: Paved', u'Roof: Shingle', u'HOA: Yes', u'Road Type: Paved', u'Fencing: Rear Only', u'Fencing: Wood', u'HOA Amenities: Maint - Comm Areas', u'HOA Amenities: Maint - Grounds', u'Amenities-Neigh: Pool', u'Amenities-Neigh: See Remarks', u'Fuel Tank: None', u'Home Warr: Seller', u'Cooling System: See Remarks', u'Dry Connect', u'Appliances: Central Vac', u'Amenities-Neigh: Sidewalk', u'Irrigation System', u'Water: Sewer Tap Available', u'Parking: On Site', u'Attic: Stairs - Pull Down', u'HOA Amenities: Security', u'Amenities-Neigh: Clubhouse', u'Amenities-Neigh: Restaurant', u'None', u'Water: Water Tap Available', u'Water Heater: See Remarks', u'List Office Board Code: Brunswick County Association of Realtors', u'Heating System: Other-See Remarks', u'Dishwasher', u'Dryer', u'Breakfast nook', u'Dining room', u'Family room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 3,070 sqft', u'Heating: Electric, Gas', u'Laundry: In Unit', u'Parcel #: 244CA058', u'Zillow Home ID: 78250238']	http://photos1.zillowstatic.com/p_e/IS-d1641v2sxl5p.jpg	320000.0	[]	3070.0	NC	346248.0	28469	78250238
3.0	3	Ocean Isle Beach	[u'Lot: 0.28 acres', u'Single Family', u'Built in 2005', u'All time views: 2,660', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $375,000', u'Last sale price/sqft: $139', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Dock', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Hot Tub/Spa', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Security System', u'Sprinkler System', u'Vaulted Ceiling', u'View: Water', u'Wet Bar', u'1st Floor Master', u'Construction Type: Stick Built', u'Amenities-Neigh: Picnic Area', u'Appliances: Disposal', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Foundation: Slab', u'Water Heater: Electric', u'Fencing: None', u'Water: Municipal Water', u'Heating System: Electric', u'Parking: Paved', u'Thermal Windows', u'Road Type: Private', u'Workshop', u'HOA: Yes', u'Road Type: Paved', u'Pantry', u'Water: Septic On Site', u'HOA Amenities: Maint - Comm Areas', u'HOA Amenities: Maint - Grounds', u'HOA Amenities: Mgmt Fee', u'HOA Amenities: Pool - Outdoor', u'Amenities-Neigh: Pool', u'9Ft+ Ceilings', u'Shades', u'Ceiling - Trey', u'Whirlpool', u'Smoke Detectors', u'Dry Connect', u'Laundry Location: Room', u'Gas Grill', u'Irrigation System', u'Security Lighting', u'Gas Logs', u'Fuel Tank: Propane Buried', u'Parking: Off Street', u'Service Providers: Water Provider: County', u'HOA Amenities: Tax Comm Areas', u'Attic: Stairs - Pull Down', u'HOA Amenities: Clubhouse', u'Amenities-Neigh: Clubhouse', u'Service Providers: Electric Provider: Brunswick Electric', u'Water Access Comm', u'Amenities-Neigh: Storage Lot', u'HOA Amenities: Street Lights', u'HOA Amenities: Ramp', u'HOA Amenities: Storage Lot', u'Exterior Kitchen', u'Water: Municipal Water Available', u'Accessibility: None', u'List Office Board Code: Brunswick County Association of Realtors', u'Solid Surface', u'Walk-In Closet', u'Roof: Architectural Shingle', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,702 sqft', u'Parcel #: 244GI041', u'Unit floor #: 1', u'Zillow Home ID: 81590764']	http://photos2.zillowstatic.com/p_e/IS1q9mm7df1cxpf.jpg	375000.0	[]	2702.0	NC	387333.0	28469	81590764
4.0	3	Ocean Isle Beach	[u'Baths: 2 full, 2 half', u'Lot: 0.48 acres', u'Single Family', u'Built in 2006', u'All time views: 5,510', u'HOA Fee: $78/mo', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $800,000', u'Last sale price/sqft: $205', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Pond', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Views: Scenic', u'Basement: None', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick, Other', u'Roof type: Composition', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Floor size: 3,901 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2138823439']	http://photos3.zillowstatic.com/p_e/ISxfa6fpp6vv981000000000.jpg	800000.0	[]	3901.0	NC	613062.0	28469	2138823439
2.0	3	Ocean Isle Beach	[u'Lot: 0.35 acres', u'Single Family', u'Built in 1997', u'All time views: 2,431', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $135,000', u'Last sale price/sqft: $83', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'1st Floor Master', u'Appliances: Disposal', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Water Heater: Electric', u'Foundation: Crawl Space', u'Lot Description: Cul-de-Sac Lot', u'Parking: Paved', u'Road Type: Private', u'Roof: Shingle', u'Fencing: Chain Link', u'HOA: Yes', u'Road Type: Paved', u'Water: Septic On Site', u'Exterior Structures: Shed', u'Fencing: Rear Only', u'HOA Amenities: Maint - Comm Areas', u'Attic: None', u'Shades', u'Fuel Tank: None', u'Construction Type: Modular', u'None', u'Smoke Detectors', u'Dry Connect', u'Fencing: Partial', u'Laundry Location: Room', u'Mud Room', u'Manufactured Type: Double Wide', u'Parking: Off Street', u'HOA Amenities: Maint - Roads', u'Water: Water Tap Available', u'HOA Amenities: Street Lights', u'List Office Board Code: Brunswick County Association of Realtors', u'Dishwasher', u'Microwave', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,624 sqft', u'Laundry: In Unit', u'Parcel #: 244HC037', u'Zillow Home ID: 78249732']	http://photos1.zillowstatic.com/p_e/ISl67s6h4m3vm71000000000.jpg	135000.0	[]	1624.0	NC	135983.0	28469	78249732
2.0	3	Ocean Isle Beach	[u'Lot: 1 acre', u'Single Family', u'Built in 2006', u'All time views: 5,219', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $171,000', u'Last sale price/sqft: $133', u'Controlled Access', u'Deck', u'Fitness Center', u'Flooring: Carpet, Tile', u'Hot Tub/Spa', u'Parking: Garage - Attached', u'Porch', u'Sprinkler System', u'Tennis Court', u'Vaulted Ceiling', u'1st Floor Master', u'Construction Type: Stick Built', u'Amenities-Neigh: Golf Course', u'Appliances: Disposal', u'Appliances: Oven - Electric', u'Construction: Wood Frame', u'Foundation: Slab', u'Water Heater: Electric', u'Fencing: None', u'Water: Municipal Water', u'Rooms: Living Room', u'Heating System: Electric', u'Parking: Paved', u'Road Type: Maintained', u'Roof: Shingle', u'Water: Municipal Sewer', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'HOA Amenities: Maint - Comm Areas', u'HOA Amenities: Maint - Grounds', u'HOA Amenities: Pool - Outdoor', u'Amenities-Neigh: Pool', u'Shades', u'Fuel Tank: None', u'Dry Connect', u'Irrigation System', u'Fireplace: None', u'HOA Amenities: Maint - Ext Bldg', u'HOA Amenities: Tax Comm Areas', u'HOA Amenities: Clubhouse', u'HOA Amenities: Maint - Roads', u'Amenities-Neigh: Clubhouse', u'Amenities-Neigh: Restaurant', u'HOA Amenities: Street Lights', u'Laundry Location: Closet', u'Lot Description: Open', u'HOA Amenities: Restaurant', u'HOA Amenities: Golf Course', u'List Office Board Code: Brunswick County Association of Realtors', u'Dishwasher', u'Dryer', u'Microwave', u'Washer', u'Dining room', u'Sun room', u'Exterior material: Composition', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,282 sqft', u'Laundry: In Unit', u'Parcel #: 229NB038', u'Zillow Home ID: 84168479']	http://photos1.zillowstatic.com/p_e/IS1fozfmdhmuau1000000000.jpg	171000.0	[]	1282.0	NC	170345.0	28469	84168479
2.0	5	Ocean Isle Beach	[u'Lot: 5,000 sqft', u'Single Family', u'Built in 1981', u'All time views: 632', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $429,500', u'Last sale price/sqft: $286', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Dock', u'Double Pane/Storm Windows', u'Elevator', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Off street, 4 spaces', u'Patio', u'Porch', u'View: Water', u'Waterfront', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Workshop', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,501 sqft', u'Laundry: In Unit', u'Parcel #: 244PF011', u'Zillow Home ID: 78248479']	http://photos3.zillowstatic.com/p_e/ISxbbgc1riva6c0000000000.jpg	429500.0	[]	1501.0	NC	427032.0	28469	78248479
