baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Raleigh	[u'Baths: 2 full, 1 half', u'Lot: 0.28 acres', u'Single Family', u'Built in 2001', u'All time views: 2,906', u'Heating: Forced air', u'Last sold: Aug 2016 for $219,000', u'Last sale price/sqft: $104', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 228 sqft garage', u'Porch', u'Security System', u'Vaulted Ceiling', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Workshop', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,114 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 2001', u'Laundry: In Unit', u'Parcel #: 173704522502000', u'Zillow Home ID: 50112742']	http://photos1.zillowstatic.com/p_e/IS9p1nt2ll77b31000000000.jpg	219000.0	[{'date': '2001-05-25', 'status': u'I ', 'sqft': 2416.0, 'cost': 115000.0, 'description': u'SFD'}, {'date': '2010-05-03', 'status': u'I ', 'sqft': 384.0, 'cost': 11493.0, 'description': u'SCREEN PORCH / COVERED PORCH'}]	2114.0	NC	216117.0	27616	50112742
2.0	3	Raleigh	[u'Lot: 0.25 acres', u'Single Family', u'Built in 2002', u'All time views: 2,816', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $206,000', u'Last sale price/sqft: $110', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 400 sqft garage', u'Patio', u'Porch', u'Security System', u'Vaulted Ceiling', u'Wired', u'saround sound', u'sprinkler system', u'prewired drain ele for outdoor kitchen', u'to many to list', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 1,870 sqft', u'Heating: Gas', u'Last remodel year: 2002', u'Laundry: In Unit', u'Parcel #: 173818411230000', u'Zillow Home ID: 60538443']	http://photos1.zillowstatic.com/p_e/ISla6u6rjftin31000000000.jpg	206000.0	[{'date': '2002-05-09', 'status': u'I ', 'sqft': 2269.0, 'cost': 108912.0, 'description': u'SFD'}]	1870.0	NC	209718.0	27616	60538443
3.0	5	Raleigh	[u'Lot: 7,405 sqft', u'Single Family', u'Built in 2002', u'All time views: 3,826', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $274,900', u'Last sale price/sqft: $101', u'Deck', u'Fireplace', u'Parking: 130 sqft garage', u'Porch', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Room count: 12', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,720 sqft', u'Last remodel year: 2002', u'Laundry: In Unit', u'Parcel #: 173702599698000', u'Zillow Home ID: 60398203']	http://photos1.zillowstatic.com/p_e/IS9tw58chiqrw61000000000.jpg	274900.0	[{'date': '2002-01-09', 'status': u'I ', 'sqft': 3200.0, 'cost': 153600.0, 'description': u'SFD'}, {'date': '2009-06-30', 'status': u'A ', 'sqft': 136.0, 'cost': 3500.0, 'description': u'10 X 14 DECK'}]	2720.0	NC	279089.0	27616	60398203
3.0	4	Raleigh	[u'Baths: 2 full, 1 half', u'Lot: 5,662 sqft', u'Single Family', u'Built in 2007', u'All time views: 5,286', u'Heating: Forced air', u'Last sold: Aug 2016 for $237,900', u'Last sale price/sqft: $87', u'Fireplace', u'Parking: 440 sqft garage', u'Age: 6-10 Years Old', u'Lot Size: 2 Acre', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,738 sqft', u'Last remodel year: 2007', u'Parcel #: 174703208979000', u'Zillow Home ID: 81436981']	http://photos3.zillowstatic.com/p_e/IS1xipdr1wu2kkj.jpg	237900.0	[{'date': '2007-05-04', 'status': u'I ', 'sqft': 3174.0, 'cost': 245157.0, 'description': u'SFD'}]	2738.0	NC	251836.0	27616	81436981
2.0	3	Raleigh	[u'Lot: 0.67 acres', u'Single Family', u'Built in 1969', u'All time views: 467', u'HOA Fee: $12/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $210,000', u'Last sale price/sqft: $127', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Lawn', u'Parking: Carport', u'Pond', u'Skylight', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,656 sqft', u'Heating: Electric', u'Last remodel year: 1969', u'Parcel #: 172608977764000', u'Zillow Home ID: 6378279']	http://photos3.zillowstatic.com/p_e/ISs244rz2mfe03.jpg	210000.0	[]	1656.0	NC	207897.0	27616	6378279
2.5	4	Raleigh	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 2006', u'All time views: 372', u'Heating: Forced air', u'Last sold: Aug 2016 for $255,000', u'Last sale price/sqft: $102', u'Deck', u'Fireplace', u'Parking: 392 sqft garage', u'Stories: 2', u'Floor size: 2,504 sqft', u'Last remodel year: 2006', u'Parcel #: 174703035294000', u'Zillow Home ID: 70488127']	http://photos1.zillowstatic.com/p_e/IS15zxniq7gyoz.jpg	255000.0	[{'date': '2005-12-12', 'status': u'I ', 'sqft': 2847.0, 'cost': 98500.0, 'description': u'SFD'}]	2504.0	NC	253021.0	27616	70488127
2.0	3	Raleigh	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1960', u'All time views: 227', u'Heating: Forced air', u'Last sold: Aug 2016 for $175,000', u'Last sale price/sqft: $101', u'Fireplace', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,739 sqft', u'Last remodel year: 1960', u'Parcel #: 172619711151000', u'Zillow Home ID: 6380107']	http://photos3.zillowstatic.com/p_e/IS1t22qh8meejz7.jpg	175000.0	[]	1739.0	NC	167135.0	27616	6380107
3.0	3	Raleigh	[u'Baths: 2 full, 1 half', u'Lot: 5,663 sqft', u'Single Family', u'Built in 2004', u'All time views: 1,750', u'HOA Fee: $42/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $214,900', u'Last sale price/sqft: $117', u'Fireplace', u'Parking: Garage - Attached, 360 sqft garage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Master bath', u'Recreation room', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Colonial', u'Floor size: 1,840 sqft', u'Last remodel year: 2004', u'Parcel #: 174702683351000', u'Zillow Home ID: 67553994']	http://photos1.zillowstatic.com/p_e/ISxfyg3mngarko1000000000.jpg	214900.0	[{'date': '2003-12-01', 'status': u'I ', 'sqft': 2142.0, 'cost': 84500.0, 'description': u'SFD'}]	1840.0	NC	215441.0	27616	67553994
2.5	4	Raleigh	[u'Baths: 2 full, 1 half', u'Lot: 7,405 sqft', u'Single Family', u'Built in 2005', u'All time views: 1,240', u'Heating: Heat pump', u'Last sold: Aug 2016 for $245,000', u'Last sale price/sqft: $118', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: 420 sqft garage', u'Pool', u'Porch', u'Gutters', u'Shower', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Heating: Dual Zone Heat', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Water Heater: Electric WH', u'Roof: Shingle', u'Attic Description: Pull Down', u'Water: City Sewer', u'Water: City Water', u'Inside City: Yes', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Fenced Yard', u'Garage Floor: Main', u'Garden Tub', u'Parking: Concrete', u'Style: Transitional', u'Subdivision: Suncrest Village', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'HOA 1 Fees Required: Yes', u'Pantry', u'HOA 1 Fee Payment: Semi-Annually', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 2,084 sqft', u'Heating: Gas', u'Last remodel year: 2005', u'Laundry: In Unit', u'Parcel #: 173704938584000', u'Zillow Home ID: 67557905']	http://photos1.zillowstatic.com/p_e/IS9hzvgqoaa4fd1000000000.jpg	245000.0	[{'date': '2004-12-03', 'status': u'I ', 'sqft': 2474.0, 'cost': 118752.0, 'description': u'SFD'}, {'date': '2012-04-11', 'status': u'V ', 'sqft': 280.0, 'cost': 5000.0, 'description': u'21 X 14 DECK'}, {'date': '2012-04-11', 'status': u'I ', 'sqft': 280.0, 'cost': 5000.0, 'description': u'21 X 14 DECK AND SCREEN PORCH'}]	2084.0	NC	250878.0	27616	67557905
3.0	3	Raleigh	[u'Baths: 2 full, 1 half', u'Lot: 8,712 sqft', u'Single Family', u'Built in 1986', u'All time views: 1,200', u'HOA Fee: $26/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $179,900', u'Last sale price/sqft: $113', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Lawn', u'Parking: Off street', u'Porch', u'Skylight', u'Vaulted Ceiling', u'Updated Plumbing 2008 - New Roof 2014 (50 year) - New front steps 2016 - Updated Counter Tops 2016 - New carpet upstairs 2016 - Countertop Refinish 2016 - Exterior painted 2016', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Exterior material: Brick, Wood products', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,593 sqft', u'Heating: Electric', u'Last remodel year: 1986', u'Laundry: In Unit', u'Parcel #: 174604936234000', u'Zillow Home ID: 6505203']	http://photos3.zillowstatic.com/p_e/ISz1fbce4779gj.jpg	179900.0	[]	1593.0	NC	176907.0	27616	6505203
2.5	4	Raleigh	[u'Baths: 2 full, 1 half', u'Lot: 7,405 sqft', u'Single Family', u'Built in 2005', u'All time views: 1,432', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $219,900', u'Last sale price/sqft: $92', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 380 sqft garage', u'Patio', u'Pool', u'A: Central Air', u'Basement Description: No Basement', u'Equipment: Ice Maker Connection', u'Shower', u'Tub', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Roof: Shingle', u'Living Room Floor: Main', u'Water: City Sewer', u'Water: City Water', u'Shower', u'Inside City: Yes', u'Design: 2 Story', u'Utility Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Other Rooms: Utility Room', u'Parking: Front', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Equipment: Garage Opener', u'Equipment: Cooktop ? Electric', u'Lot Description: Cul-De-Sac', u'Style: Transitional', u'Lvng Area: Second', u'Community Rec Avail.', u'Subdivision: McKinley Mill', u'Parking: Garage', u'9 Ft Ceiling', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,400 sqft', u'Last remodel year: 2005', u'Laundry: In Unit', u'Parcel #: 174701356939000', u'Zillow Home ID: 65333617']	http://photos1.zillowstatic.com/p_e/IS6qjanh2y32ur0000000000.jpg	219900.0	[{'date': '2004-12-03', 'status': u'I ', 'sqft': 2721.0, 'cost': 134352.0, 'description': u'SFD'}]	2400.0	NC	220183.0	27616	65333617
2.5	4	Raleigh	[u'Baths: 2 full, 1 half', u'Lot: 2 acres', u'Single Family', u'Built in 2002', u'All time views: 1,958', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jul 2016 for $225,000', u'Last sale price/sqft: $117', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 352 sqft garage', u'Patio', u'A: Central Air', u'Equipment: Disposal', u'Equipment: Ice Maker Connection', u'Gutters', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Roof: Shingle', u'Attic Description: Pull Down', u'Style: Traditional', u'Living Room Floor: Main', u'Water: City Sewer', u'Water: City Water', u'Shower', u'Inside City: Yes', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'HO Fees Include: HO Fees Include None', u'Bedroom 3 Floor: Second', u'Lot Description: Hardwood Trees', u'Other Rooms: Utility Room', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Insulated Windows', u'Walking Trails', u'Equipment: Range Hood', u'Lot Description: Cul-De-Sac', u'Parking: Concrete', u'Lot Description: Secluded', u'Subdivision: Willow Lake', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Acres: 1-2.9 Acres', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,923 sqft', u'Last remodel year: 2002', u'Laundry: In Unit', u'Parcel #: 174704622460000', u'Zillow Home ID: 50110820']	http://photos3.zillowstatic.com/p_e/ISli4erxd85k2n1000000000.jpg	225000.0	[]	1923.0	NC	227891.0	27616	50110820
4.0	4	Raleigh	[u'Baths: 3 full, 1 half', u'Lot: 10,454 sqft', u'Single Family', u'Built in 2000', u'All time views: 3,754', u'Heating: Forced air', u'Last sold: Jul 2016 for $184,500', u'Last sale price/sqft: $100', u'Fireplace', u'Parking: 228 sqft garage', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,845 sqft', u'Last remodel year: 2000', u'Parcel #: 173618424105000', u'Zillow Home ID: 50113332']	http://photos2.zillowstatic.com/p_e/ISmaegxk40hnh11000000000.jpg	184500.0	[]	1845.0	NC	184838.0	27616	50113332
3.0	4	Raleigh	[u'Lot: 7,841 sqft', u'Single Family', u'Built in 2011', u'All time views: 1,216', u'HOA Fee: $56/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $293,000', u'Last sale price/sqft: $94', u'Parking: Garage - Attached, 2 spaces, 340 sqft garage', u'Porch', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,129 sqft', u'Heating: Electric, Gas', u'Last remodel year: 2011', u'Parcel #: 174803213745000', u'Zillow Home ID: 113221973']	http://photos2.zillowstatic.com/p_e/ISd0lkihqkq6vc0000000000.jpg	293000.0	[{'date': '2011-06-15', 'status': u'I ', 'sqft': 3426.0, 'cost': 301388.0, 'description': u'SFD'}]	3129.0	NC	281330.0	27616	113221973
