baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Salisbury	[u'Baths: 2 full, 1 half', u'Lot: 0.66 acres', u'Single Family', u'Built in 1936', u'All time views: 3,585', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $137,900', u'Last sale price/sqft: $72', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Tile, Other', u'Parking: Garage - Attached', u'Porch', u'Unfinished basement', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Master bath', u'Office', u'Exterior material: Brick', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,918 sqft', u'Heating: Gas, Other', u'Parcel #: 062 019', u'Zillow Home ID: 75027312']	http://photos2.zillowstatic.com/p_e/ISm6vu4wwmvbdl0000000000.jpg	137900.0	[]	1918.0	NC	155450.0	28147	75027312
3.0	3	Salisbury	[u'Baths: 2 full, 2 half', u'Lot: 1.2 acres', u'Single Family', u'Built in 2003', u'All time views: 929', u'HOA Fee: $26/mo', u'Cooling: Other', u'Heating: Other', u'Last sold: Aug 2016 for $244,500', u'Last sale price/sqft: $87', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Fitness Center', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Unfinished basement', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Equipment: Ice Maker Connection', u'Attic Other', u'Doors Windows: Storm Door(s)', u'Doors Windows: Insulated Windows', u'Driveway: Concrete', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Water: Well', u'Playground', u'Pool', u'Laundry Location: 2nd Floor', u'Property Sub Type: Basement', u'Equipment: Exhaust Fan', u'Outbuilding', u'Recreation Area', u'Club House', u'Whirlpool', u'Zoning: SFR', u'Green Certification: None', u'Attic Walk-in', u'Laundry Location: Laundry Room', u'Parking: Garage - 2 Car', u'Parking: Garage Door Opener', u'Parking: Parking Space - 3+', u'Parking: Side Load Garage', u'Equipment: Natural Gas', u'Wooded', u'Level', u'Cleared', u'Kitchen Island', u'Pantry', u'Tray Ceiling', u'Open Floorplan', u'Heating: Apollo System', u'Flooring: Tile', u'Flooring: Laminate Wood', u'Construction Type: Site Built', u'Listing Agent MLS Board: Salisbury Board of Realtors', u'Listing Agent Primary Board: Salisbury Board of Realtors', u'Selling Agent MLS Board: Salisbury Board of Realtors', u'Selling Agent Primary Board: Salisbury Board of Realtors', u'Dishwasher', u'Microwave', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 2', u'Floor size: 2,816 sqft', u'Heating: Other', u'Parcel #: 479K061', u'Zillow Home ID: 75024340']	http://photos3.zillowstatic.com/p_e/ISqtfhvt8alk5m1000000000.jpg	244500.0	[]	2816.0	NC	247924.0	28147	75024340
2.0	3	Salisbury	[u'Lot: 0.42 acres', u'Single Family', u'Built in 1997', u'All time views: 30', u'Cooling: Other', u'Heating: Other', u'Last sold: Aug 2016 for $83,500', u'Last sale price/sqft: $78', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: Cash', u'Listing Financing: Conventional', u'Laundry Location: 1st Floor', u'Equipment: None', u'Property Sub Type: 1 Story', u'Driveway: Concrete', u'Sewer: Septic Tank', u'Water: Shared Well', u'Parking: Parking Space - 1', u'Parking: Driveway', u'Construction Type: Site Built', u'Listing Agent MLS Board: Central Carolina Association of Realtors', u'Listing Agent Primary Board: Central Carolina Association of Realtors', u'Selling Agent MLS Board: Salisbury Board of Realtors', u'Selling Agent Primary Board: Salisbury Board of Realtors', u'Exterior material: Vinyl', u'Stories: 1', u'Floor size: 1,064 sqft', u'Heating: Gas', u'Parcel #: 467 289', u'Zillow Home ID: 126400543']	http://photos3.zillowstatic.com/p_e/ISqpoxmvd88liu1000000000.jpg	83500.0	[]	1064.0	NC	0.0	28147	126400543
1.0	2	Salisbury	[u'Lot: 0.32 acres', u'Single Family', u'Built in 1948', u'All time views: 574', u'Heating: Heat pump', u'Last sold: Aug 2016 for $73,000', u'Last sale price/sqft: $59', u'Ceiling Fan', u'Parking: Garage - Detached', u'Driveway: Gravel', u'Laundry Location: Basement', u'Property Sub Type: 1 Story Basement', u'Equipment: Cooktop Electric', u'Sewer: Septic Tank', u'Water: Well', u'Exterior Construction: Aluminum', u'Parking: Garage - 1 Car', u'Construction Type: Site Built', u'Selling Agent MLS Board: Central Carolina Association of Realtors', u'Selling Agent Primary Board: Central Carolina Association of Realtors', u'Listing Agent MLS Board: Salisbury Board of Realtors', u'Listing Agent Primary Board: Salisbury Board of Realtors', u'Exterior material: Wood', u'Stories: 1', u'Floor size: 1,240 sqft', u'Parcel #: 480 014', u'Zillow Home ID: 75024395']	http://photos2.zillowstatic.com/p_e/ISalemakbn93w51000000000.jpg	73000.0	[]	1240.0	NC	79766.0	28147	75024395
2.0	3	Salisbury	[u'Lot: 0.36 acres', u'Single Family', u'Built in 2002', u'All time views: 47', u'Heating: Heat pump', u'Last sold: Aug 2016 for $30,000', u'Last sale price/sqft: $19', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Foundation Details: Crawl Space', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Driveway: Asphalt', u'Equipment: Electric Dryer Hookup', u'Sewer: City Sewer', u'Water: City Water', u'Laundry Location: 1st Floor', u'Zoning: SFR', u'Property Sub Type: Manufactured Double-Wide', u'Parking: Driveway', u'Flooring: Tile', u'Selling Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent MLS Board: Central Carolina Association of Realtors', u'Listing Agent Primary Board: Central Carolina Association of Realtors', u'Construction Type: Manufactured', u'Exterior material: Vinyl', u'Stories: 1', u'Floor size: 1,620 sqft', u'Heating: Other', u'Parcel #: 469A053', u'Zillow Home ID: 126400751']	http://photos2.zillowstatic.com/p_e/ISyfik7zx8ewgz0000000000.jpg	30000.0	[]	1620.0	NC	50413.0	28147	126400751
3.0	3	Salisbury	[u'Baths: 2 full, 1 half', u'Lot: 0.89 acres', u'Single Family', u'Built in 1996', u'All time views: 2,075', u'HOA Fee: $72/mo', u'Last sold: Aug 2016 for $303,045', u'Last sale price/sqft: $117', u'Floor size: 2,597 sqft', u'Zillow Home ID: 2099001053']	http://photos2.zillowstatic.com/p_e/IShr4x7wowjdhb0000000000.jpg	303045.0	[]	2597.0	NC	335838.0	28147	2099001053
2.5	3	Salisbury	[u'Lot: 0.89 acres', u'Single Family', u'Built in 1996', u'All time views: 1,445', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2016 for $301,500', u'Last sale price/sqft: $116', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,597 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 462B003', u'Zillow Home ID: 75022679']	http://photos2.zillowstatic.com/p_e/ISp51q1luoigan1000000000.jpg	301500.0	[]	2597.0	NC	330045.0	28147	75022679
3.0	4	Salisbury	[u'Baths: 2 full, 1 half', u'Lot: 1.7 acres', u'Single Family', u'Built in 1997', u'All time views: 4,654', u'HOA Fee: $7/mo', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Aug 2016 for $291,000', u'Last sale price/sqft: $87', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Other', u'Jetted Tub', u'Parking: Garage - Attached', u'Patio', u'Storage', u'Wet Bar', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Recreation room', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,338 sqft', u'Heating: Gas, Other', u'Parcel #: 462 171', u'Zillow Home ID: 75022626']	http://photos1.zillowstatic.com/p_e/ISpdzxsotgenpk0000000000.jpg	291000.0	[]	3338.0	NC	276355.0	28147	75022626
2.0	3	Salisbury	[u'Lot: 0.86 acres', u'Single Family', u'Built in 1999', u'All time views: 872', u'Heating: Heat pump', u'Last sold: Jul 2016 for $36,000', u'Last sale price/sqft: $22', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: Cash', u'Driveway: Asphalt', u'Laundry Location: 1st Floor', u'Equipment: None', u'Sewer: Septic Tank', u'Water: Well', u'Property Sub Type: Manufactured Double-Wide', u'Parking: Parking Space - 1', u'Parking: Driveway', u'Selling Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent MLS Board: Central Carolina Association of Realtors', u'Listing Agent Primary Board: Central Carolina Association of Realtors', u'Construction Type: Manufactured', u'Exterior material: Vinyl', u'Stories: 1', u'Floor size: 1,620 sqft', u'Heating: Other', u'Parcel #: 477A001', u'Zillow Home ID: 75023984']	http://photos1.zillowstatic.com/p_e/ISa5uza85jbhzn0000000000.jpg	36000.0	[]	1620.0	NC	80414.0	28147	75023984
2.0	3	Salisbury	[u'Lot: 2.25 acres', u'Single Family', u'Built in 1989', u'All time views: 1,209', u'Heating: Heat pump', u'Last sold: Jul 2016 for $162,500', u'Last sale price/sqft: $73', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached', u'Equipment: Hood', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Equipment: Electric Dryer Hookup', u'Doors Windows: Storm Door(s)', u'Fireplace Description: Other', u'Laundry Location: Basement', u'Doors Windows: Insulated Windows', u'Property Sub Type: 1 Story Basement', u'Driveway: Concrete', u'Sewer: Septic Tank', u'Water: Well', u'Fireplace Description: Woodstove', u'Laundry Location: Laundry Room', u'Flooring: Parquet', u'Architectural Style: Ranch', u'Parking: Garage - 2 Car', u'Parking: Driveway', u'Foundation Details: Block', u'Private', u'Construction Type: Site Built', u'Selling Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent MLS Board: Salisbury Board of Realtors', u'Listing Agent Primary Board: Salisbury Board of Realtors', u'Dishwasher', u'Dryer', u'Refrigerator', u'Washer', u'Exterior material: Brick, Vinyl', u'Stories: 1', u'Floor size: 2,213 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 460 110', u'Zillow Home ID: 75022460']	http://photos1.zillowstatic.com/p_e/ISd0l8531vdbfu1000000000.jpg	162500.0	[]	2213.0	NC	173021.0	28147	75022460
2.0	3	Salisbury	[u'Lot: 2 acres', u'Single Family', u'Built in 1987', u'All time views: 5,612', u'Cooling: Central', u'Heating: Forced air, Other, Stove', u'Last sold: Jul 2016 for $175,000', u'Last sale price/sqft: $75', u'Attic', u'Deck', u'Fireplace', u'Flooring: Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 5 spaces', u'Porch', u'Security System', u'Unfinished basement', u'semi secluded beautiful property and home', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Recreation room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,323 sqft', u'Heating: Gas, Other', u'Parcel #: 462 077', u'Zillow Home ID: 75022733']	http://photos1.zillowstatic.com/p_e/ISlae4o12u98h91000000000.jpg	175000.0	[]	2323.0	NC	214756.0	28147	75022733
2.0	3	Salisbury	[u'Lot: 0.86 acres', u'Single Family', u'Built in 1997', u'All time views: 1,858', u'HOA Fee: $70/mo', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Jul 2016 for $295,000', u'Last sale price/sqft: $121', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Unfinished basement', u'Equipment: Hood', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Sewer: City Sewer', u'Water: City Water', u'Attic Other', u'Laundry Location: 1st Floor', u'Driveway: Concrete', u'Zoning: Residential', u'Property Sub Type: 1.5 Story', u'Pool', u'Equipment: Oven', u'Club House', u'Whirlpool', u'Laundry Location: Laundry Room', u'Parking: Garage - 2 Car', u'Parking: Garage Door Opener', u'Equipment: Natural Gas', u'Kitchen Island', u'Pantry', u'Flooring: Tile', u'Construction Type: Site Built', u'Selling Agent MLS Board: Central Carolina Association of Realtors', u'Selling Agent Primary Board: Central Carolina Association of Realtors', u'Listing Agent MLS Board: Salisbury Board of Realtors', u'Listing Agent Primary Board: Salisbury Board of Realtors', u'Tennis Court(s)', u'Microwave', u'Refrigerator', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Colonial', u'Floor size: 2,435 sqft', u'Heating: Gas', u'Parcel #: 462B010', u'Zillow Home ID: 75022564']	http://photos3.zillowstatic.com/p_e/IS9l6430amcrdb0000000000.jpg	295000.0	[]	2435.0	NC	327850.0	28147	75022564
