baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	2	Stumpy Point	[u'Lot: 0.7 acres', u'Single Family', u'Built in 1955', u'All time views: 3,973', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jul 2015 for $97,500', u'Last sale price/sqft: $81', u'Flooring: Hardwood, Laminate', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Other', u'Roof type: Metal', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Laundry: In Unit', u'Parcel #: 024098002', u'Unit floor #: 1', u'Zillow Home ID: 86663435']	http://photos1.zillowstatic.com/p_e/ISppsw8rdy46kv0000000000.jpg	97500.0	[]	1200.0	NC	161672.0	27978	86663435
1.0	3	Stumpy Point	[u'Lot: 7.46 acres', u'Single Family', u'Built in 1900', u'All time views: 8,355', u'Cooling: Central, Other', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2015 for $99,000', u'Last sale price/sqft: $69', u'Fireplace', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Type: Single Family - Detached', u'Primary Residence (Y: No', u'Potential Short Sale: No', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Association Fee Y: No', u'County: Dare', u'Oil: No', u'Seller to sever Oil: No', u'Oil: No Representation', u'AIR CONDITIONING: Central', u'HEATING: Heat Pump', u'Yearly Income Act: Actual', u'Area: Dare Co. Mainland', u'AIR CONDITIONING: Heat Pump', u'HEATING: Central', u'HEATING: Electric', u'Subdivision: None', u'Furnishings Available Y: No', u'Waterfront Location: Canalfront', u'HEATING: Forced Air', u'Exterior material: Other', u'Roof type: Other', u'Stories: 3', u'Structure type: Other', u'Floor size: 1,425 sqft', u'Heating: Electric', u'Parcel #: 024043000', u'Zillow Home ID: 86662560']	http://photos1.zillowstatic.com/p_e/IS9t8bkiuewpri0000000000.jpg	99000.0	[]	1425.0	NC	162915.0	27978	86662560
2.0	2	Stumpy Point	[u'Single Family', u'Built in 1982', u'All time views: 2,056', u'Cooling: Central, Other', u'Last sold: Oct 2013 for $135,000', u'Last sale price/sqft: $128', u'Flooring: Carpet, Linoleum / Vinyl', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Exterior material: Vinyl, Wood', u'Roof type: Asphalt', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,056 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Zillow Home ID: 2128004202']	http://photos2.zillowstatic.com/p_e/IS-15hlws8fph2sd.jpg	135000.0	[]	1056.0	NC	206656.0	27978	2128004202
2.0	3	Stumpy Point	[u'Lot: 0.28 acres', u'Single Family', u'Built in 1989', u'All time views: 3,262', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2013 for $147,000', u'Last sale price/sqft: $67', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Carpet, Laminate', u'Jetted Tub', u'Parking: Off street', u'Partial basement', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Master bath', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 11', u'Stories: 3', u'Structure type: Contemporary', u'Floor size: 2,200 sqft', u'Heating: Propane butane', u'Laundry: In Unit', u'Zillow Home ID: 2138863113']	http://photos2.zillowstatic.com/p_e/IS-1ctod77ekblgd.jpg	147000.0	[]	2200.0	NC	303818.0	27978	2138863113
1.0	2	Stumpy Point	[u'Lot: 0.7 acres', u'Single Family', u'Built in 1955', u'All time views: 3,975', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jul 2015 for $97,500', u'Last sale price/sqft: $81', u'Flooring: Hardwood, Laminate', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Other', u'Roof type: Metal', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Laundry: In Unit', u'Parcel #: 024098002', u'Unit floor #: 1', u'Zillow Home ID: 86663435']	http://photos1.zillowstatic.com/p_e/ISppsw8rdy46kv0000000000.jpg	97500.0	[]	1200.0	NC	161672.0	27978	86663435
1.0	3	Stumpy Point	[u'Lot: 7.46 acres', u'Single Family', u'Built in 1900', u'All time views: 8,356', u'Cooling: Central, Other', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2015 for $99,000', u'Last sale price/sqft: $69', u'Fireplace', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Type: Single Family - Detached', u'Primary Residence (Y: No', u'Potential Short Sale: No', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Association Fee Y: No', u'County: Dare', u'Oil: No', u'Seller to sever Oil: No', u'Oil: No Representation', u'AIR CONDITIONING: Central', u'HEATING: Heat Pump', u'Yearly Income Act: Actual', u'Area: Dare Co. Mainland', u'AIR CONDITIONING: Heat Pump', u'HEATING: Central', u'HEATING: Electric', u'Subdivision: None', u'Furnishings Available Y: No', u'Waterfront Location: Canalfront', u'HEATING: Forced Air', u'Exterior material: Other', u'Roof type: Other', u'Stories: 3', u'Structure type: Other', u'Floor size: 1,425 sqft', u'Heating: Electric', u'Parcel #: 024043000', u'Zillow Home ID: 86662560']	http://photos1.zillowstatic.com/p_e/IS9t8bkiuewpri0000000000.jpg	99000.0	[]	1425.0	NC	162915.0	27978	86662560
2.0	2	Stumpy Point	[u'Single Family', u'Built in 1982', u'All time views: 2,054', u'Cooling: Central, Other', u'Last sold: Oct 2013 for $135,000', u'Last sale price/sqft: $128', u'Flooring: Carpet, Linoleum / Vinyl', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Exterior material: Vinyl, Wood', u'Roof type: Asphalt', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,056 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Zillow Home ID: 2128004202']	http://photos2.zillowstatic.com/p_e/IS-15hlws8fph2sd.jpg	135000.0	[]	1056.0	NC	206656.0	27978	2128004202
2.0	3	Stumpy Point	[u'Lot: 0.28 acres', u'Single Family', u'Built in 1989', u'All time views: 3,263', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2013 for $147,000', u'Last sale price/sqft: $67', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Carpet, Laminate', u'Jetted Tub', u'Parking: Off street', u'Partial basement', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Master bath', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 11', u'Stories: 3', u'Structure type: Contemporary', u'Floor size: 2,200 sqft', u'Heating: Propane butane', u'Laundry: In Unit', u'Zillow Home ID: 2138863113']	http://photos2.zillowstatic.com/p_e/IS-1ctod77ekblgd.jpg	147000.0	[]	2200.0	NC	303818.0	27978	2138863113
1.0	2	Stumpy Point	[u'Lot: 0.7 acres', u'Single Family', u'Built in 1955', u'All time views: 3,974', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jul 2015 for $97,500', u'Last sale price/sqft: $81', u'Flooring: Hardwood, Laminate', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Other', u'Roof type: Metal', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Laundry: In Unit', u'Parcel #: 024098002', u'Unit floor #: 1', u'Zillow Home ID: 86663435']	http://photos1.zillowstatic.com/p_e/ISppsw8rdy46kv0000000000.jpg	97500.0	[]	1200.0	NC	161672.0	27978	86663435
1.0	3	Stumpy Point	[u'Lot: 7.46 acres', u'Single Family', u'Built in 1900', u'All time views: 8,357', u'Cooling: Central, Other', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2015 for $99,000', u'Last sale price/sqft: $69', u'Fireplace', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Type: Single Family - Detached', u'Primary Residence (Y: No', u'Potential Short Sale: No', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Association Fee Y: No', u'County: Dare', u'Oil: No', u'Seller to sever Oil: No', u'Oil: No Representation', u'AIR CONDITIONING: Central', u'HEATING: Heat Pump', u'Yearly Income Act: Actual', u'Area: Dare Co. Mainland', u'AIR CONDITIONING: Heat Pump', u'HEATING: Central', u'HEATING: Electric', u'Subdivision: None', u'Furnishings Available Y: No', u'Waterfront Location: Canalfront', u'HEATING: Forced Air', u'Exterior material: Other', u'Roof type: Other', u'Stories: 3', u'Structure type: Other', u'Floor size: 1,425 sqft', u'Heating: Electric', u'Parcel #: 024043000', u'Zillow Home ID: 86662560']	http://photos1.zillowstatic.com/p_e/IS9t8bkiuewpri0000000000.jpg	99000.0	[]	1425.0	NC	162915.0	27978	86662560
