baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Wake Forest	[u'Lot: 0.55 acres', u'Single Family', u'Built in 2001', u'All time views: 3,029', u'HOA Fee: $25/mo', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Aug 2016 for $400,000', u'Last sale price/sqft: $135', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 528 sqft garage', u'Security System', u'PropertyType: Residential', u'PropertySubType: Single Family Detached', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Pantry', u'Walk-in closet', u'Exterior material: Brick, Cement concrete', u'Roof type: Other', u'Room count: 9', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 2,955 sqft', u'Heating: Gas', u'Last remodel year: 2001', u'Parcel #: 183103322625000', u'Zillow Home ID: 60399251']	http://photos3.zillowstatic.com/p_e/ISledmkrfdlmgc1000000000.jpg	400000.0	[]	2955.0	NC	409048.0	27587	60399251
3.0	4	Wake Forest	[u'Baths: 2 full, 1 half', u'Lot: 0.36 acres', u'Single Family', u'Built in 2015', u'All time views: 4,125', u'HOA Fee: $55/mo', u'Heating: Forced air', u'Last sold: Aug 2016 for $339,300', u'Last sale price/sqft: $109', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached', u'Pool', u'Porch', u'Storage', u'Wired', u'A: Central Air', u'Basement Description: No Basement', u'Foundation: Crawl Space', u'HO Fees Include: HO Association', u'Washer Dryer Location: 1st Floor', u'HO Fees Include: Maint Com. Area', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Living Room Floor: Main', u'Water: City Sewer', u'Master Bedroom Floor: Main', u'Water: City Water', u'Inside City: Yes', u'Design: 2 Story', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'Bedroom 2 Floor: Second', u'Other Rooms: 1st Floor Bedroom', u'Bedroom 3 Floor: Second', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Corner Lot', u'Other Rooms: Office', u'Office: Main', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Bonus Room Floor: Second', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Other Rooms: Finish', u'Parking: Concrete', u'Roof: Roof Age 0-5 Years', u'Accessibility: Main Floor Laundry', u'A: C Age 0-3 Years', u'Heating: Heat Age 0-3 Yrs', u'Water Heater: Water Htr Age 0-3 Yrs', u'Subdivision: Drayton Reserve', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Granite Counter Tops', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'Acres: .26-.5 Acres', u'HOA 1 Fee Payment: Monthly', u'Pantry', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete, Stone', u'Structure type: Contemporary', u'Floor size: 3,110 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 174802860525000', u'Zillow Home ID: 118509253']	http://photos2.zillowstatic.com/p_e/IStsxd1swicr2r0000000000.jpg	339300.0	[]	3110.0	NC	326436.0	27587	118509253
2.5	3	Wake Forest	[u'Lot: 0.35 acres', u'Single Family', u'Built in 1998', u'All time views: 2,371', u'HOA Fee: $200/mo', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Aug 2016 for $238,000', u'Last sale price/sqft: $121', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 4 spaces, 288 sqft garage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,968 sqft', u'Last remodel year: 1998', u'Parcel #: 174801092099000', u'Zillow Home ID: 6557843']	http://photos2.zillowstatic.com/p_e/ISpdbr7l7f2c250000000000.jpg	238000.0	[]	1968.0	NC	246181.0	27587	6557843
4.0	4	Wake Forest	[u'Baths: 3 full, 1 half', u'Lot: 0.69 acres', u'Single Family', u'Built in 2012', u'All time views: 4,787', u'HOA Fee: $36/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $350,000', u'Last sale price/sqft: $88', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 504 sqft garage', u'Security System', u'Lot Size: 2 - 1 Acre', u'Age: 1-5 Years Old', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,984 sqft', u'Last remodel year: 2012', u'Parcel #: 176804531401000', u'Zillow Home ID: 120875928']	http://photos1.zillowstatic.com/p_e/IS9tsu4nh9i9hq1000000000.jpg	350000.0	[]	3984.0	NC	396577.0	27587	120875928
5.0	4	Wake Forest	[u'Lot: 1.01 acres', u'Single Family', u'Built in 2007', u'All time views: 4,277', u'HOA Fee: $42/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $490,000', u'Last sale price/sqft: $108', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Intercom', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 3 spaces, 950 sqft garage', u'Patio', u'Porch', u'Security System', u'Sprinkler System', u'Vaulted Ceiling', u'View: Park, Water', u'Wet Bar', u'Wired', u'natural water stream', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Sun room', u'Walk-in closet', u'Exterior material: Brick, Stone, Wood products', u'Roof type: Metal', u'Room count: 13', u'Stories: 2', u'Structure type: Bungalow', u'Floor size: 4,545 sqft', u'Heating: Gas, Propane butane', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 180304813179000', u'Zillow Home ID: 82674726']	http://photos3.zillowstatic.com/p_e/IS99ddxaxhjodu1000000000.jpg	490000.0	[]	4545.0	NC	558717.0	27587	82674726
2.5	3	Wake Forest	[u'Lot: 1.07 acres', u'Single Family', u'Built in 1993', u'All time views: 357', u'Heating: Forced air', u'Last sold: Aug 2016 for $450,000', u'Last sale price/sqft: $197', u'Fireplace', u'Parking: 648 sqft garage', u'Exterior material: Wood', u'Room count: 9', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,282 sqft', u'Last remodel year: 1993', u'Parcel #: 174801266411000', u'Zillow Home ID: 6530691']	http://photos3.zillowstatic.com/p_e/ISn2nocmybdyg3.jpg	450000.0	[]	2282.0	NC	302535.0	27587	6530691
2.5	3	Wake Forest	[u'Lot: 0.92 acres', u'Single Family', u'Built in 2005', u'All time views: 322', u'Heating: Forced air', u'Last sold: Aug 2016 for $450,000', u'Last sale price/sqft: $152', u'Deck', u'Fireplace', u'Parking: 498 sqft garage', u'Exterior material: Wood', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,955 sqft', u'Last remodel year: 2005', u'Parcel #: 177902694114000', u'Zillow Home ID: 68019360']	http://photos2.zillowstatic.com/p_e/IS17hrucryxt76r.jpg	450000.0	[]	2955.0	NC	417743.0	27587	68019360
3.0	4	Wake Forest	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1977', u'All time views: 1,594', u'Heating: Forced air', u'Last sold: Aug 2016 for $310,000', u'Last sale price/sqft: $142', u'Deck', u'Fireplace', u'Parking: 572 sqft garage', u'Exterior material: Wood', u'Room count: 8', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,182 sqft', u'Last remodel year: 1977', u'Parcel #: 174701087614000', u'Zillow Home ID: 6447038']	http://photos2.zillowstatic.com/p_e/IS1p15ehuiv8883.jpg	310000.0	[]	2182.0	NC	308777.0	27587	6447038
3.5	4	Wake Forest	[u'Lot: 0.25 acres', u'Single Family', u'Built in 2007', u'All time views: 245', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $460,000', u'Last sale price/sqft: $148', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 696 sqft garage', u'Patio', u'Porch', u'Sprinkler System', u'Vaulted Ceiling', u'Wired', u'Large screened porch w/ outdoor speakers', u'Golf course community', u'community pools', u'Invisible fence', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Cement concrete', u'Roof type: Composition', u'Room count: 10', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,111 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Parcel #: 174902867693000', u'Zillow Home ID: 71845206']	http://photos1.zillowstatic.com/p_e/ISwpltih2d5lsz.jpg	460000.0	[]	3111.0	NC	431859.0	27587	71845206
5.0	5	Wake Forest	[u'Baths: 4 full, 1 half', u'Lot: 0.27 acres', u'Single Family', u'Built in 2006', u'108 days on Zillow', u'Views since listing: 1,334', u'All time views: 3,694', u'23 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $488,500', u'Last sale price/sqft: $125', u'MLS #: 2047054', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Garage - Attached, 552 sqft garage', u'Porch', u'Sprinkler System', u'Vaulted Ceiling', u'First Floor In-law suite with private full bath.', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Recreation room', u'Exterior material: Cement concrete, Composition', u'Roof type: Shake Shingle', u'Room count: 12', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,896 sqft', u'Heating: Gas', u'Last remodel year: 2006', u'Parcel #: 174902869740000', u'Zillow Home ID: 71206810']	http://photos1.zillowstatic.com/p_e/IS9p5y4yek7ml10000000000.jpg	488500.0	[]	3896.0	NC	545576.0	27587	71206810
