baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	3	Zebulon	[u'Lot: 0.54 acres', u'Single Family', u'Built in 1970', u'All time views: 8,607', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $115,000', u'Last sale price/sqft: $122', u'Flooring: Laminate, Tile', u'Porch', u'PropertyType: Residential', u'PropertySubType: Single Family Detached', u'Dishwasher', u'Microwave', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 946 sqft', u'Heating: Electric', u'Last remodel year: 1970', u'Parcel #: 176702579520000', u'Zillow Home ID: 6404835']	http://photos1.zillowstatic.com/p_e/ISle1h0jnr68841000000000.jpg	115000.0	[]	946.0	NC	131402.0	27597	6404835
2.0	3	Zebulon	[u'Lot: 0.7 acres', u'Single Family', u'Built in 1998', u'All time views: 1,097', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $137,000', u'Last sale price/sqft: $120', u'Fireplace', u'Parking: Garage - Attached, 720 sqft garage', u'Age: 11-20 Years Old', u'Cooling: C', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,143 sqft', u'Last remodel year: 1998', u'Parcel #: 16K04025M', u'Zillow Home ID: 69096344']	http://photos3.zillowstatic.com/p_e/IS15r2qaus949lv.jpg	137000.0	[]	1143.0	NC	129525.0	27597	69096344
3.0	3	Zebulon	[u'Baths: 2 full, 1 half', u'Lot: 1.15 acres', u'Single Family', u'Built in 1985', u'All time views: 9,658', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $130,500', u'Last sale price/sqft: $76', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces, 576 sqft garage', u'Porch', u'Skylight', u'PropertyType: Residential', u'PropertySubType: Single Family Detached', u'Dishwasher', u'Refrigerator', u'Dining room', u'Office', u'Pantry', u'Exterior material: Stone', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,720 sqft', u'Heating: Electric', u'Parcel #: 000508', u'Zillow Home ID: 58354806']	http://photos3.zillowstatic.com/p_e/IStw467qpymylg1000000000.jpg	130500.0	[]	1720.0	NC	153659.0	27597	58354806
2.0	3	Zebulon	[u'Lot: 0.31 acres', u'Single Family', u'Built in 1994', u'16 days on Zillow', u'All time views: 7,102', u'94 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air, Heat pump, Other', u'Last sold: Aug 2016 for $79,900', u'Last sale price/sqft: $60', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Dishwasher', u'Family room', u'Exterior material: Other', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,330 sqft', u'Last remodel year: 1994', u'Parcel #: 179515536808000', u'Zillow Home ID: 6496493']	http://photos1.zillowstatic.com/p_e/ISlqawrpoc2b8u1000000000.jpg	79900.0	[]	1330.0	NC	117407.0	27597	6496493
2.0	3	Zebulon	[u'Lot: 0.71 acres', u'Single Family', u'Built in 1999', u'All time views: 271', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $130,000', u'Last sale price/sqft: $114', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'A: C Age 6+ Years', u'Shower', u'Design: One Story', u'Fuel Heat: Electric Fuel', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Hardwood Trees', u'Lot Description: Partially Cleared', u'Parking: Asphalt', u'Dining: Eat-in Kitchen', u'Style: Ranch', u'Foundation: Brick Foundation', u'Water: Community Water', u'Roof: Roof Age 11+ Years', u'Fiberglass Bath', u'Attic Description: Skuttle', u'Pool: Above Ground Pool', u'Subdivision: Buffalo Creek', u'Washer Dryer Location: Laundry Room', u'Acres: .51-.75 Acres', u'Tile Countertops', u'Dryer', u'Range / Oven', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,143 sqft', u'Last remodel year: 1999', u'Laundry: In Unit', u'Parcel #: 16K04026V', u'Zillow Home ID: 69094396']	http://photos2.zillowstatic.com/p_e/IStkng6vgyvppu0000000000.jpg	130000.0	[]	1143.0	NC	125878.0	27597	69094396
2.0	3	Zebulon	[u'Lot: 0.26 acres', u'Single Family', u'Built in 1995', u'All time views: 739', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $115,000', u'Last sale price/sqft: $105', u'Deck', u'Parking: Carport', u'Dishwasher', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,092 sqft', u'Last remodel year: 1995', u'Laundry: In Unit', u'Parcel #: 179503424607000', u'Zillow Home ID: 6544676']	http://photos1.zillowstatic.com/p_e/ISxzt29koe94av0000000000.jpg	115000.0	[]	1092.0	NC	115049.0	27597	6544676
2.0	3	Zebulon	[u'Lot: 0.77 acres', u'Single Family', u'Built in 2004', u'All time views: 1,865', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $279,800', u'Last sale price/sqft: $119', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 560 sqft garage', u'Vaulted Ceiling', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Workshop', u'Exterior material: Brick', u'Room count: 9', u'Stories: 1', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,348 sqft', u'Heating: Gas', u'Last remodel year: 2004', u'Parcel #: 270509062404000', u'Zillow Home ID: 6545429']	http://photos1.zillowstatic.com/p_e/ISl2sl0nof83rh1000000000.jpg	279800.0	[]	2348.0	NC	281657.0	27597	6545429
3.0	3	Zebulon	[u'Lot: 6,534 sqft', u'Single Family', u'Built in 2005', u'All time views: 2,334', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $165,000', u'Last sale price/sqft: $86', u'Fireplace', u'Flooring: Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces, 380 sqft garage', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Fuel Heat: Electric Fuel', u'HO Fees Include: Area Lights', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Roof: Shingle', u'Style: Traditional', u'Water: City Sewer', u'Water: City Water', u'Inside City: Yes', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Other Rooms: Family Room', u'Breakfast Room Floor: Main', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Garden Tub', u'HO Fees Include: Street Lights', u'Parking: Concrete', u'Accessibility: Main Floor Laundry', u'Parking: Street Parking', u'Subdivision: Braemar', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Monthly', u'Pantry', u'Dishwasher', u'Family room', u'Exterior material: Vinyl', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,908 sqft', u'Heating: Electric', u'Last remodel year: 2005', u'Parcel #: 179507579878000', u'Zillow Home ID: 68319057']	http://photos1.zillowstatic.com/p_e/IS1nami3271mje1000000000.jpg	165000.0	[]	1908.0	NC	156321.0	27597	68319057
2.5	3	Zebulon	[u'Baths: 2 full, 1 half', u'Lot: 1.41 acres', u'Single Family', u'Built in 2002', u'All time views: 567', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2016 for $224,900', u'Last sale price/sqft: $101', u'Ceiling Fan', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 743 sqft garage', u'Garbage disposal', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,236 sqft', u'Parcel #: 030584', u'Zillow Home ID: 62673361']	http://photos3.zillowstatic.com/p_e/IStcd3rrlyh4ra0000000000.jpg	224900.0	[]	2236.0	NC	224710.0	27597	62673361
3.0	4	Zebulon	[u'Lot: 1.66 acres', u'Single Family', u'Built in 2016', u'All time views: 1,428', u'Heating: Forced air', u'Last sold: Jun 2016 for $239,000', u'Last sale price/sqft: $110', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Porch', u'A: Central Air', u'Attic Description: Permanent Stairs', u'Attic Description: Unfinished Att', u'Basement Description: No Basement', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'New Construction: Yes', u'Entrance Hall Floor: Main', u'Design: 1.5 Story', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Family Room', u'Lot Description: Wooded Lot', u'Bedroom 4 Floor: Second', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Equipment: Garage Opener', u'Equipment: Range Hood', u'Other Rooms: Walk In Pantry', u'Other Rooms: Finish', u'Other Rooms: Bonus Stair Acc', u'Attic Description: Walk In', u'Family Room Floor: Second', u'Other Rooms: Room Over Garage', u'Parking: Garage', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: 1-2.9 Acres', u'Pantry', u'Subdivision: Pecan Grove', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,180 sqft', u'Laundry: In Unit', u'Parcel #: 270701075917000', u'Zillow Home ID: 50109912']	http://photos1.zillowstatic.com/p_e/IS95agmcqbkoyt1000000000.jpg	239000.0	[]	2180.0	NC	0.0	27597	50109912
4.0	3	Zebulon	[u'Baths: 3 full, 1 half', u'Lot: 0.5 acres', u'Single Family', u'Built in 2016', u'7 days on Zillow', u'Views since listing: 271', u'All time views: 428', u'2 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $39,500', u'Last sale price/sqft: $15', u'Barbecue', u'Deck', u'Lawn', u'Parking: Garage - Attached, Off street, 1 space, 621 sqft garage', u'Porch', u'Storage', u'Transportation', u'View: City', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,641 sqft', u'Heating: Gas', u'Parcel #: 270509052069000', u'Zillow Home ID: 6545414']	http://photos3.zillowstatic.com/p_e/IS2z3xv3cjqir41000000000.jpg	39500.0	[]	2641.0	NC	0.0	27597	6545414
